hotel name --- Pahari Soul, key -- paymenttype, error -- list index out of range 
hotel name --- Haven Eleven Homestay, key -- cancelType, error -- list index out of range 
hotel name --- Haven Eleven Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Pineridge Hotel at Mall Road, key -- paymenttype, error -- list index out of range 
hotel name --- Norbu's Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Hotel Golden Orchid, key -- paymenttype, error -- list index out of range 
hotel name --- Monratino The snow roost- 10 mins walking distance from mall road- Attached balcony with Kanchenjunga Mountain View-Kitchen available, key -- paymenttype, error -- list index out of range 
hotel name --- The West Gate Posada By Summit, key -- paymenttype, error -- list index out of range 
hotel name --- Light Inn, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Summit Oakden Resort & Spa Mall Road, key -- paymenttype, error -- list index out of range 
hotel name --- Sterling Darjeeling, key -- paymenttype, error -- list index out of range 
hotel name --- Summit Mall Stone Hotel, key -- paymenttype, error -- list index out of range 
hotel name --- Villa Everest, key -- paymenttype, error -- list index out of range 
hotel name --- Summit Montana Suites & Spa at Mall, key -- paymenttype, error -- list index out of range 
hotel name --- Summit Swiss Heritage Resort & Spa, key -- paymenttype, error -- list index out of range 
hotel name --- Yashshree Mall Road Darjeeling, key -- paymenttype, error -- list index out of range 
hotel name --- Hotel Viceroy, key -- paymenttype, error -- list index out of range 
hotel name --- Summit Hermon Hotel & Spa, key -- paymenttype, error -- list index out of range 
hotel name --- Sinclairs Darjeeling, key -- paymenttype, error -- list index out of range 
hotel name --- Summit Grace Boutique Hotel & Spa, key -- paymenttype, error -- list index out of range 
hotel name --- Arcadia Heritage Resort, key -- paymenttype, error -- list index out of range 
hotel name --- Sunshraya Homestay, key -- cancelType, error -- list index out of range 
hotel name --- Sunshraya Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Mount Lungta Boutique Hotel & Spa, key -- paymenttype, error -- list index out of range 
hotel name --- Little Singamari Home Stay, key -- paymenttype, error -- list index out of range 
hotel name --- THE ENGLISH COTTAGE, key -- paymenttype, error -- list index out of range 
hotel name --- The Revett, key -- paymenttype, error -- list index out of range 
hotel name --- Ki Kiba Dhee, key -- cancelType, error -- list index out of range 
hotel name --- Ki Kiba Dhee, key -- paymenttype, error -- list index out of range 
hotel name --- Treebo Eeshan Rodhi Resort, Darjeeling, key -- cancelType, error -- list index out of range 
hotel name --- Treebo Eeshan Rodhi Resort, Darjeeling, key -- paymenttype, error -- list index out of range 
hotel name --- Hotel Tara Palace Darjeeling, key -- paymenttype, error -- list index out of range 
hotel name --- Planter's Heritage By Cilantro Collection - A Unit of Jigden Hotel and Resort, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- The Silver Spring Homestay, key -- cancelType, error -- list index out of range 
hotel name --- The Silver Spring Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- The Guiding Monk Home Stays, key -- paymenttype, error -- list index out of range 
hotel name --- Monratino Himadrie -2 mins walk from Mall Road - All rooms have Kanchenjunga Mountain View, key -- paymenttype, error -- list index out of range 
hotel name --- Yumasham Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Marigold Manor Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Rambler's Nesting Homestay, key -- cancelType, error -- list index out of range 
hotel name --- Rambler's Nesting Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Sampang Hotel and Restaurant, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Simbosa, key -- cancelType, error -- list index out of range 
hotel name --- Simbosa, key -- paymenttype, error -- list index out of range 
hotel name --- Vilasa Homestay, key -- cancelType, error -- list index out of range 
hotel name --- Vilasa Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- INDUS MOUNT ROYALE HOTEL - Mall Road, key -- paymenttype, error -- list index out of range 
hotel name --- B&B Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- RISE N SHINE HOMESTAY, key -- paymenttype, error -- list index out of range 
hotel name --- Tashiling Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Aradhya Apartments, key -- paymenttype, error -- list index out of range 
hotel name --- Angel Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Jetsunma Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Red Panda Apartment, key -- cancelType, error -- list index out of range 
hotel name --- Red Panda Apartment, key -- paymenttype, error -- list index out of range 
hotel name --- Alpenglow Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Darjeeling Homestay Nyano Ghar, key -- cancelType, error -- list index out of range 
hotel name --- Darjeeling Homestay Nyano Ghar, key -- paymenttype, error -- list index out of range 
hotel name --- Daphne House, key -- paymenttype, error -- list index out of range 
hotel name --- Priyatam Stays, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Himalayan Window, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- MAMTA HOMESTAY, key -- cancelType, error -- list index out of range 
hotel name --- MAMTA HOMESTAY, key -- paymenttype, error -- list index out of range 
hotel name --- Tathagata Farm, key -- paymenttype, error -- list index out of range 
hotel name --- Sparid Inn, key -- paymenttype, error -- list index out of range 
hotel name --- hotel Seven Seventeen, key -- cancelType, error -- list index out of range 
hotel name --- hotel Seven Seventeen, key -- paymenttype, error -- list index out of range 
hotel name --- Tigerhill Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Pranav Homestays, key -- paymenttype, error -- list index out of range 
hotel name --- Pranav Homestays, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Lamahatta Rai Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Ging Tea House, key -- cancelType, error -- list index out of range 
hotel name --- Ging Tea House, key -- paymenttype, error -- list index out of range 
hotel name --- Neema's bnb, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Yashshree Sanderling Mall Road, key -- paymenttype, error -- list index out of range 
hotel name --- Aarna Valaya, key -- paymenttype, error -- list index out of range 
hotel name --- Urban Black Hotel, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Smriya Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Poshtel, Meghma , Sandakphu, key -- paymenttype, error -- list index out of range 
