name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
Hotel Vellara,Double Room,Free cancellation,No prepayment needed,2 single beds,"₹ 17,820",8.0,263,1.2 km from centre,Bengaluru,2025-07-01,2025-07-07,Banglore,https://www.booking.com/hotel/in/vellara.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=112941313_243413579_2_1_0&highlighted_blocks=112941313_243413579_2_1_0&matching_block_id=112941313_243413579_2_1_0&sr_pri_blocks=112941313_243413579_2_1_0__1782000&from=searchresults
Hilton Bangalore Embassy GolfLinks,Twin Room,,,2 single beds,"₹ 94,095",8.8,111,5.7 km from centre,Bengaluru,2025-07-01,2025-07-07,Banglore,https://www.booking.com/hotel/in/hilton-bangalore-embassy-golflinks.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=58093005_94495244_2_41_0_196316&highlighted_blocks=58093005_94495244_2_41_0_196316&matching_block_id=58093005_94495244_2_41_0_196316&sr_pri_blocks=58093005_94495244_2_41_0_196316_9409500&nad_id=ed329c46-678e-4a2a-ac41-d87c8c14fb0f_0&nad_cpc=0.58&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NDk3MjA4Mjg5NDQsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiZ0lKdXlqejlzUWQ0RkNhMWg0R0xyeTlFSjFucjkwWVpSRnVHakVjcE1CdVozazFlRlBTaXVZeE1TVW5TRWpHZXcvMlc2T0htL3NQdGRnQy9ZQmxWUEhjTytaZEF6cWl2MkRpb2VWUE4wSk0wZlNuZndmMk1oVk1RZEw2UjFrUEQ2U1V6cDJLbFF6SGcxZ2h3d0hjS0hIUTk0ZUJEZW9vbjZNVzV4VjFxYmN4SzVtMWsvTXcvcHVLNFhVYVNnVTdTKzRTN21qRzZNVTBmM0hnZFREYzI1bktDSjZ1MjhLVDllOWwyakF2YzNEQ21QVzN0eUF3aDE3ZmdRS2JwQ240b3ZEODNCSDRIdVhUMWRiNGorZTVhc1V6VDI4VVhBUXRUREYvVmdFYjUrbi9EalBHeXpqWmExbWRxalZULzFnMWdNcDA0cWg5VkxKYlJsY2JMb2dJelFCT0tzYUhnRTdDb29SY1RxQS94Q3d3WFlQOTBBNVJNakNrZTZBeWF6ZUdzeGZtcDQydWlvVTZyblFaRTdORjFPSTgzNWlJT3loS0d0Z2lzVStDL2NIOG5IV0dHZVhHazR4R3JjTEdUK3JjVU9xVkNEbE5FUnRqcytjT0ZuOWF4QjN1S25vcXRQMHlxR2pTdzBoYnRCS3VCWDdXOERhd01XWnBjalgxQklYRVgvZ0NNRGNpVUhxVTJWOHNQZ0c1K25IT0pvNXFHOWxJTUF0UzNOblplaEZ0bmFaeHg1RXVEck5JN1JVVC9zUTRsTCtlbldkdldqTnplSmVFeDZKNnFPeFRJRlczMmhIbUt0VDRlaWg3TlAzTGlCWkhDaFVlZW4vSlpVb3ZYbW5kR0ZmN1ljSVROLzhJLzVVSW5xT05kbXcxWDh6R0QyTm5na2twOHAxQlh5MUM0UTlrU2lJVmVqR2EwMUdHWE1pb0NZeGVYaDlxU2U5VlQ2K2lTa2ZVNUJLbE5YZUR5V0FaU0tRc0ZuSGZTM0J5TW9LTDFnclNFRWpWT0JXbTVmRm1UcjJWb0U4MlhtVjFzWjVtdEl0Z1lLdDVsSGxZM0srYytpdGxjenEvclozcS9qSmQ1TWZ5ZnF3YjJQSFdsM1FvZlNiTXB6VWx6NE9OTEgvWk82K1NWVUZiWUpoWFdaWDhVR1lmYzVhbGlHaE9Hb1Q4dUpGa2Z2SWFxZGtxUVQ5VGp0YWtaazlhYlIrM1IvNGNmY2hoZEZaVCs0Nkh3MjY3UU0rdkJvdlZTSG8rRFUrS3lQYVR2THc4WWcyQm9Kb1dGUktaVFN6aE1LNnRhc0lHZFNJeXZlMWtxUlhXUjNnbk9QeXlDNzA3akVPWGdmU1RXZzE4TmRobW5PaFlGYkxFUjl5ZXJpam16cVN2cS96b1Z6UEJDZHh6MFdJQWxNYnF6RzIyTUtzM3JvdE1xT1oySFU3eTUvTmFLdEMvVzRKeis4S1NsYlRwclJ2eTNmZXRpSlZQd0E1S1c1dktkYkMwNjlWcTlzQnl3UmVlQ0c4Lzh6QkRST1MvSjhiNDlvbzhqZE9tR0xxV0JtYm9OLzJWTlpwTHJrVEdtTmZ4K2VHWHllQXd1R3dReEtUOURvdmFqTHg2RjJsb3IzckhRODlMc2VQQVVGaHdkNlB6Q2dWbituY203WGh2UW5YZmJYSG1Hc0JmaG8vZDlrOVE4VFBlT1AyaDhmK21wem1MdWpSdG05dzArd1ErY0lTV3FFTHIxR3NJOXNRRUNlOXhxK3hYTFJyekZiR2lLM0RVR21JNDdhZXBlQTNOSUE3NzVwMmk0a3Bkc2x5YnpOZWdEWDZlSnhtak5odC9LWENFanljV213REtoTExuUGhNWHpjcGRGT0tKVUlrUVIzdWE1Z1hKeTZZaHhXYVRLVS9VemsxTzlya0ZYRVhENGZsZFM5aUo5NkNweVc3UmZDcHAvd0MvK2FRVXh0NlJGMXZ0aGtDcXZtVGF2WWVQVldPeUtVSnJjdkp2OVE0SmJjSnFDMzdZTkU3UUlnWXlxNjRiVmMrRXZydm01em1mWkdWcnErWXhZVjFJcFg2dE52dHpTUkVkeGNrYTZBNk56VXFZYjh5Q3hhVVdEZHZOcWdVMXhnY1NNUGJ0eTNZZERlN1Y0WnJWbE5scTUzd0ZQNGwyU25McXlTN1NqMG1SclhKYWZFdHFIbEhwSkxQMkZEYVhoTTRKRVJNZ3BmSkhBUFhhSXJYeHNGS2hvRTF0K01WKzNkNmRlYTBubjlSdy93TGNieXpqWnYveFpWRzVmTlp6bWErRmpHVEE0cEwvNGd2WlFXU3BPbXU4TUw0d3YvSnkreXFFQ2N3c1lhODE0VzcwQVZRRE96TzlHSkd6NnZNeHhkRUIzWEZNaE90aGx6UGliK3BuQ28yUGZlU1lKTG1ncGNPOTVubjdyMVVKTkRCRnl1MWJ5QkZNQUlsdlJDeExNNURyTGFkb1ZmdkI2VTdlUUpYK1A1ZFNGRDRVT1RNb295dFltUnFUT2s4TFVMb1NkZUlTL2lPUzJxSmVjNW9vMEE2OWMyTTdiZUdyclhPdEVuby9PSlVCSDZ2UDd0RmVUNVhWbnZJQWRXRTU5cUtIeFVuM2RxUVhJUzRVVXlmUE5uNXdCSTRIU2pidkFrV0pHNm0rNGEzK2xSNHp0REk0L2thbTd4UEp4aHoxUzNVbkRibEpmT0dqamllYkFvVFlkbjNPNTBNUEUxcnZhNVNyTUdNVFM1UGw3SnNKcVBjVnFNT0VpOXV1RDkvUUpQaU54THAwQVlkbXdiRTJ0T2EySUJ1cndxa1E3aEhJMytLcE5KbmFlWEJOai9ad0ZML0xMYW5heEZxZ3h0QWhZTU5HcGRyZ0RRMmJjY0ltSGd4VlpNSmxxVUkrRWxxMEJNME9zblUrRUxlMkwwRmdYeEpzQkVLQ1crbzM1b1N5dEpTSmlxR2l1d3lVMkU3ays0Nkl5dUlBMlM3VDljOS9UWnpwQkQvUC9qK2pWeFYrMVFPbE5EbDB5UnNEdHZCOGU5SVVta1ZkTWVIZHZoclpFMTgwMnJ0ZjhtVk4rMUtJUTdPZ1ZqUXhEVStSNU53MXVyMjNLVktIVHVvOVUvQWtCUGZpU0ZNVXhNNFM2MzlyWm1naFRBQ2FMTFBZSFZHcTB2NGpMQ0FSWHA2TmZKd1cyQTA1dnNCQkRtSGhwQmhkZ2ozU096bXFtazkxbnFsRlp4WiticVBzVldCbHR0cGFCeHRFZ2tlQVlLMi9FV2dVNEkrSlhyMVU5S1BkL3J3Qmh2Uy9Ya0VmTi9ZUzJVS1o0NFFJTjYvek0rT0J6Qjl6MCtGeXEzcTRSRkZwdWtvejE4Vi83aFNjNmZkTjIxL3V4RUhHejBxQmFIdk1zSjl4OXZUQzBFQXFyUkNzMTR4YnVpSkVhbGhydHlERXNXeTd6c1BxNzFzQWpmQWZxT2gzUDZzRHZWZG1zblQvTndHMERqZmNpSXZsdkJWYUFXT2ZCSFNaUiJ9&from_sustainable_property_sr=1&from=searchresults
"Staymazing Ferndale-1,2&3 BHK Boutique AC Serviced Apartments",One-Bedroom Apartment,Free cancellation,No prepayment needed,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 65m²2 beds (1 double, 1 sofa bed) • Cot always available","₹ 10,308",8.1,49,6.8 km from centre,"Hebbal, Bengaluru",2025-07-01,2025-07-07,Banglore,https://www.booking.com/hotel/in/staymazing-ferndale-1-2-amp-3-bhk-boutique-serviced-apartment-hebbal.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=1243197802_410032901_2_0_0_901592&highlighted_blocks=1243197802_410032901_2_0_0_901592&matching_block_id=1243197802_410032901_2_0_0_901592&sr_pri_blocks=1243197802_410032901_2_0_0_901592_1030800&from=searchresults
Truelife Whitefield - Premium 1 BHK Apartments - Prime location - Easy access to Main Rd - Metro - ITPL - Fast WiFi - Kitchen - Smart TV - Power backup - Park - Garden views,One-Bedroom Apartment with Balcony,Free cancellation,No prepayment needed,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 48m²2 beds (1 sofa bed, 1 large double)","₹ 16,470",9.0,63,15.7 km from centre,"Whitefield, Bengaluru",2025-07-01,2025-07-07,Banglore,https://www.booking.com/hotel/in/truelife-whitefield-premium-1-bhk-apartments-bengaluru.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=1332550402_411253287_2_0_0&highlighted_blocks=1332550402_411253287_2_0_0&matching_block_id=1332550402_411253287_2_0_0&sr_pri_blocks=1332550402_411253287_2_0_0__1647000&from=searchresults
The Porch Inn Hotel/Service Apartments,Standard Double Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 12,644",8.3,684,3.6 km from centre,Bengaluru,2025-07-01,2025-07-07,Banglore,https://www.booking.com/hotel/in/the-porch-inn-amp-service-apartment.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=393493701_213213546_2_42_0&highlighted_blocks=393493701_213213546_2_42_0&matching_block_id=393493701_213213546_2_42_0&sr_pri_blocks=393493701_213213546_2_42_0__1264428&from=searchresults
Tulip Inn Koramangala Bangalore,Deluxe 01 Double Bed Room 240 Sq Ft,Free cancellation,No prepayment needed,,"₹ 27,000",8.0,378,5.2 km from centre,"Koramangala, Bengaluru",2025-07-01,2025-07-07,Banglore,https://www.booking.com/hotel/in/tulip-inn-koramangala.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=815052304_351045830_2_42_0&highlighted_blocks=815052304_351045830_2_42_0&matching_block_id=815052304_351045830_2_42_0&sr_pri_blocks=815052304_351045830_2_42_0__2700000&from=searchresults
ibis Bengaluru City Centre - An Accor Brand,Standard Twin Room,,,2 single beds,"₹ 24,958",6.9,1307,1.3 km from centre,Bengaluru,2025-07-01,2025-07-07,Banglore,https://www.booking.com/hotel/in/ibis-bengaluru-city-centre.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=111633202_94582433_2_42_0&highlighted_blocks=111633202_94582433_2_42_0&matching_block_id=111633202_94582433_2_42_0&sr_pri_blocks=111633202_94582433_2_42_0__2495800&from_sustainable_property_sr=1&from=searchresults
Hotel Rize Inn,Deluxe Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 11,070",8.8,12,6.9 km from centre,Bengaluru,2025-07-01,2025-07-07,Banglore,https://www.booking.com/hotel/in/rize-inn.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=1277530902_403081536_2_2_0&highlighted_blocks=1277530902_403081536_2_2_0&matching_block_id=1277530902_403081536_2_2_0&sr_pri_blocks=1277530902_403081536_2_2_0__1107000&from=searchresults
"Sliceinn Sylva, Wilson Garden, Bangalore",Deluxe Queen Room,Free cancellation,,1 double bed,"₹ 10,292",9.1,7,2.9 km from centre,Bengaluru,2025-07-01,2025-07-07,Banglore,https://www.booking.com/hotel/in/sliceinn-sylva-wilson-garden.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=1391982903_412800985_2_0_0&highlighted_blocks=1391982903_412800985_2_0_0&matching_block_id=1391982903_412800985_2_0_0&sr_pri_blocks=1391982903_412800985_2_0_0__1029200&from=searchresults
Sanctum Suites Whitefield Bangalore,Deluxe Queen Room,Free cancellation,,1 large double bed,"₹ 14,700",7.7,240,16.1 km from centre,"Whitefield, Bengaluru",2025-07-01,2025-07-07,Banglore,https://www.booking.com/hotel/in/the-sanctum-suites-whitefield.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=336990601_378433584_2_41_0&highlighted_blocks=336990601_378433584_2_41_0&matching_block_id=336990601_378433584_2_41_0&sr_pri_blocks=336990601_378433584_2_41_0__1470000&from=searchresults
