name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
Hotel KASTURI PALACE & RESTAURANT DARJEELING,Deluxe Double Room,Free cancellation,No prepayment needed,1 double bed,"₹ 9,000",7.8,12,0.8 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/kasturi-palace-amp-restaurant-darjeeling-darjeeling.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1388602702_414191253_2_2_0&highlighted_blocks=1388602702_414191253_2_2_0&matching_block_id=1388602702_414191253_2_2_0&sr_pri_blocks=1388602702_414191253_2_2_0__900000&from=searchresults
Pahari Soul,Double Room,Free cancellation,,1 double bed,"₹ 7,020",7.6,385,1.7 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/pahari-soul.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=86368204_335402537_2_42_0&highlighted_blocks=86368204_335402537_2_42_0&matching_block_id=86368204_335402537_2_42_0&sr_pri_blocks=86368204_335402537_2_42_0__702000&from=searchresults
Haven Eleven Homestay,Family Double Room,,,"2 beds (1 double, 1 extra-large double)","₹ 19,794",9.2,14,0.9 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/haven-eleven.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1008188103_373545904_0_1_0&highlighted_blocks=1008188103_373545904_0_1_0&matching_block_id=1008188103_373545904_0_1_0&sr_pri_blocks=1008188103_373545904_0_1_0__1979400&from=searchresults
Pineridge Hotel at Mall Road,Deluxe King Room,Free cancellation,,1 extra-large double bed,"₹ 13,800",5.4,58,0.9 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/pineridge-darjeeling.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1309389704_407331360_2_40_0&highlighted_blocks=1309389704_407331360_2_40_0&matching_block_id=1309389704_407331360_2_40_0&sr_pri_blocks=1309389704_407331360_2_40_0__1380000&from=searchresults
Hotel Broadway Annecy Darjeeling - Near Mall Road With Luxury & Spacious Room - Book Now,Deluxe Double Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 13,194",7.4,15,400 m from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/broadway-annecy-darjeeling-near-mall-road-with-luxury-amp-spacious-room-book-now.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1386734002_410977750_2_42_0&highlighted_blocks=1386734002_410977750_2_42_0&matching_block_id=1386734002_410977750_2_42_0&sr_pri_blocks=1386734002_410977750_2_42_0__1319400&from=searchresults
Asraya Homestay,Deluxe Double Room with Balcony,Free cancellation,No prepayment needed,1 large double bed,"₹ 12,000",9.3,57,1.5 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/asraya-homestay.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1287966404_401746283_2_42_0&highlighted_blocks=1287966404_401746283_2_42_0&matching_block_id=1287966404_401746283_2_42_0&sr_pri_blocks=1287966404_401746283_2_42_0__1200000&from=searchresults
HOTEL PREMIUM OLIVE BRANCH Near Chowrasta Tourist ATTRACTION,Standard Double Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 8,790",10,2,450 m from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/premium-olive-branch-near-chowrasta-tourist-attraction-darjiling.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1382787002_410465029_2_42_0&highlighted_blocks=1382787002_410465029_2_42_0&matching_block_id=1382787002_410465029_2_42_0&sr_pri_blocks=1382787002_410465029_2_42_0__879000&from=searchresults
A PREMIUM HOTEL OLIVE BRANCH DARJEELING Near Gurudwara - Best Hotel In Darjeelig,Standard King Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 8,790",10,5,450 m from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/a-premium-olive-branch-darjeeling-near-gurudwara-best-in-darjeelig.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1386711402_411841467_2_0_0&highlighted_blocks=1386711402_411841467_2_0_0&matching_block_id=1386711402_411841467_2_0_0&sr_pri_blocks=1386711402_411841467_2_0_0__879000&from=searchresults
Norbu's Homestay,Deluxe Double Room (2 Adults + 1 Child),Free cancellation,,1 double bed,"₹ 12,000",8.4,50,0.7 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/lovely-2-bedroom-apartment-with-kanchenjunga-view.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=907624108_410589289_0_0_0&highlighted_blocks=907624108_410589289_0_0_0&matching_block_id=907624108_410589289_0_0_0&sr_pri_blocks=907624108_410589289_0_0_0__1200000&from=searchresults
Jai Hotels,Double Deluxe Room with 10% discount on soft beverages at J4 Cafe,Free cancellation,No prepayment needed,1 large double bed,"₹ 25,408",7.9,169,0.8 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/jai-darjeeling1.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=320660501_195919496_2_42_0&highlighted_blocks=320660501_195919496_2_42_0&matching_block_id=320660501_195919496_2_42_0&sr_pri_blocks=320660501_195919496_2_42_0__2540800&from=searchresults
