name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
Zulu Land cottages - near Curlies beach shack and shiva valley - Anjuna beach,Cottage with Garden View,Free cancellation,No prepayment needed,Entire bungalow • 1 bedroom • 1 bathroom • 33m²1 large double bed,"₹ 10,489",7.0,2157,,"Anjuna Beach, Anjuna",2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/oyo-14197-curlies-zulu-land-cottages-goa12.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=432809403_224887253_2_41_0_559194&highlighted_blocks=432809403_224887253_2_41_0_559194&matching_block_id=432809403_224887253_2_41_0_559194&sr_pri_blocks=432809403_224887253_2_41_0_559194_1048907&from=searchresults
Summit Calangute Resort & Spa,Deluxe Room With Private Balcony,Free cancellation,,1 extra-large double bed,"₹ 15,915",7.3,42,,Calangute,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/summit-calangute-resort-amp-spa.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=913130304_413033368_2_42_0_780361&highlighted_blocks=913130304_413033368_2_42_0_780361&matching_block_id=913130304_413033368_2_42_0_780361&sr_pri_blocks=913130304_413033368_2_42_0_780361_1591500&from=searchresults
BluO Amani Vagator - Boutique Hotel Goa,Standard King Room,Free cancellation,,1 large double bed,"₹ 18,360",9.5,24,,Anjuna,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/bluo-goa.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1337312501_414929024_2_42_0_905517&highlighted_blocks=1337312501_414929024_2_42_0_905517&matching_block_id=1337312501_414929024_2_42_0_905517&sr_pri_blocks=1337312501_414929024_2_42_0_905517_1836000&from=searchresults
Hotel Sea Castle,Junior Suite,Free cancellation,,Private suite1 extra-large double bed,"₹ 17,200",8.8,287,,Calangute,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/baga-treasures.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1161908710_402724317_4_0_0&highlighted_blocks=1161908710_402724317_4_0_0&matching_block_id=1161908710_402724317_4_0_0&sr_pri_blocks=1161908710_402724317_4_0_0__1720000&from=searchresults
Lykke Suites- 2-min Drive to Colva Beach-By Goan Felicidade Hospitality PVT LTD,Standard Suite,Free cancellation,,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 30m²2 beds (1 extra-large double, 1 sofa bed)","₹ 15,918",9.2,9,,Colva,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/lykke-suites-a-unit-by-goan-felicidade-hospitality-private-limited.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1304420204_413825241_2_2_0_890714&highlighted_blocks=1304420204_413825241_2_2_0_890714&matching_block_id=1304420204_413825241_2_2_0_890714&sr_pri_blocks=1304420204_413825241_2_2_0_890714_1591824&from=searchresults
Dimaru Boutique Hotel,Junior Suite with Balcony,Free cancellation,,Private suite1 double bed,"₹ 16,600",9.1,167,,Calangute,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/sea-voyage-calangute.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1273697007_403855856_3_0_0_926399&highlighted_blocks=1273697007_403855856_3_0_0_926399&matching_block_id=1273697007_403855856_3_0_0_926399&sr_pri_blocks=1273697007_403855856_3_0_0_926399_1660000&from=searchresults
Grand Continent Morjim,Grand Deluxe Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 22,353",8.0,57,,Morjim,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/grand-continent-morjim.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1209072902_393084600_2_2_0&highlighted_blocks=1209072902_393084600_2_2_0&matching_block_id=1209072902_393084600_2_2_0&sr_pri_blocks=1209072902_393084600_2_2_0__2235312&from=searchresults
Treebo Rock Valley,Economy Double Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 15,013",7.7,127,,Ponda,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/rock-valley-goa.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=537319503_400593236_2_2_0_320249&highlighted_blocks=537319503_400593236_2_2_0_320249&matching_block_id=537319503_400593236_2_2_0_320249&sr_pri_blocks=537319503_400593236_2_2_0_320249_1501254&from=searchresults
The Astor - All Suites Hotel Candolim Goa,Junior Suite Twin Bed Bed,Free cancellation,,Private suite2 single beds,"₹ 48,410",9.0,367,,Candolim,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/the-astor-goa.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1090521502_410085027_2_1_0_501232&highlighted_blocks=1090521502_410085027_2_1_0_501232&matching_block_id=1090521502_410085027_2_1_0_501232&sr_pri_blocks=1090521502_410085027_2_1_0_501232_4840992&from=searchresults
"FabHotel Prime BT Wellness With Swimming Pool, Bar and Spa - Nr Morjim Beach",Deluxe Room,Free cancellation,,1 double bed,"₹ 20,270",7.3,7,,Pernem,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/samara-wellness.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1114974005_410204694_2_42_0_907552&highlighted_blocks=1114974005_410204694_2_42_0_907552&matching_block_id=1114974005_410204694_2_42_0_907552&sr_pri_blocks=1114974005_410204694_2_42_0_907552_2026984&from=searchresults
"Azora by Ayatana, Goa",Clique Cottage,Free cancellation,,1 double bed,"₹ 45,006",8.7,70,,Morjim,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/azorab-by-ayatana-goa.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=11&hapos=11&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1118073804_409766988_2_2_0_579871&highlighted_blocks=1118073804_409766988_2_2_0_579871&matching_block_id=1118073804_409766988_2_2_0_579871&sr_pri_blocks=1118073804_409766988_2_2_0_579871_4500600&from=searchresults
