name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
"Villa 406, Dr Wade with Private Pool and Gazebo in Royal Palms Mumbai",Superior Villa,,,"Entire villa • 4 bedrooms • 1 living room • 4 bathrooms • 1 kitchen • 3,000 m²7 beds (6 doubles, 1 sofa bed)","₹ 97,600",-1,-1,8.4 km from centre,"Western Suburbs, Mumbai (Western Suburbs)",2025-07-01,2025-07-07,Mumbai,https://www.booking.com/hotel/in/villa-406-dr-wade-with-private-pool-and-gazebo.en-gb.html?label=bombay-ojXiksgy7PQEP4LUUIOBsgS525624659405%3Apl%3Ata%3Ap1480%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100521%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=54a05c96e9fc0053&srepoch=1749649091&all_sr_blocks=618278101_383085599_7_0_0&highlighted_blocks=618278101_383085599_7_0_0&matching_block_id=618278101_383085599_7_0_0&sr_pri_blocks=618278101_383085599_7_0_0__9760000&from=searchresults
Novotel Mumbai International Airport,Superior Twin Bed with 20% discount on Spa and Food & Soft Beverage at Restaurants only and and and 10% on Laundry,,,2 single beds,"₹ 47,514",-1,-1,3.8 km from centre,"Western Suburbs, Mumbai (Andheri)",2025-07-01,2025-07-07,Mumbai,https://www.booking.com/hotel/in/novotel-mumbai-international-airport.en-gb.html?label=bombay-ojXiksgy7PQEP4LUUIOBsgS525624659405%3Apl%3Ata%3Ap1480%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100521%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=54a05c96e9fc0053&srepoch=1749649091&all_sr_blocks=936061206_365769415_2_42_0&highlighted_blocks=936061206_365769415_2_42_0&matching_block_id=936061206_365769415_2_42_0&sr_pri_blocks=936061206_365769415_2_42_0__4751400&nad_id=0f3a202d-3104-41ab-95d4-254c50cd8fd4_0&nad_cpc=0.5&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NDk2NDc0MDU2MjEsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiZ0lKdXlqejlzUWQ0RkNhMWg0R0xyeTlFSjFucjkwWVpSRnVHakVjcE1CdVozazFlRlBTaXVZeE1TVW5TRWpHZXcvMlc2T0htL3NQdGRnQy9ZQmxWUEhjTytaZEF6cWl2MkRpb2VWUE4wSk0wZlNuZndmMk1oVk1RZEw2UjFrUEQ2U1V6cDJLbFF6SGcxZ2h3d0hjS0hIUTk0ZUJEZW9vbjZNVzV4VjFxYmN4SzVtMWsvTXcvcHVLNFhVYVNnVTdTKzRTN21qRzZNVTBmM0hnZVRqYzI1WCtDSjZHMDZyajVhOWQ0elFuUXdTR3VNMlRxeFVvNTFMSGlSS2JyRm5CbXVUZzhDR01Xc1hENE02WXA1ZUFadEUvR3h0OFNHQVlWRkZ6V2gwbjAvR2JOek9hanpUUkx5V2wyMWt6bnpRdGlOcDA2dHd0V0s1bmNrOUhGckVFMlZnU2V0YkgyRksybDV3OEx1RmowV3cwV1pmTmdGNVlaaVRJSHVsMlYxZlgzdy9yaHFtbWdwRTc5elF4TXV0SWlMSUU1cHpFZGl3cU1xQkd2VStDL2NIOG5IV0dHZVhHazR4R3JjTEdUK3JjVU9xVkNEbE5FUnRqcytjT0ZuOWF4QjN1S25vcXRQMHlxR2pTdzBoYnRCS3VCWDdXOERhd01XWnBjalgxQklYRVgvZ0NNRGNpVUhxVTJWOHNQZ0c1K25IT0pvNXFHOWxJTUF0UzNOblplaEZ0bmFaeHg1RXVEck5JN1JVVC9zUTRsTGYycEd0N0hsY1RaZFBrNTlwRHBMd0xmQ0d2M21HcUZzSGNHZ1FQRGYzbnZGb1BPaTBpQ3llcFNUSmZiajJ3V1NMZVplSVhHdnBOMHUxRXl1dUpEaFFSVzdDS1d5b3FxMnd0MG9FQkFnZ1h2QjhvSG1vZEFrbSsyeTNLQ0lIbElKbG1RbmRhUVBaMEhxZWpMekxCK0NiRk5YS3k4QUZOSFB4aFgzamVFeWh1Rjl1MmxndmlUVnpJQ0JDeS9NUmpRb21RblNJYU96QkJnY29HMVo5TVpJcHR2SDF3N1pLb2oycG9aekx6cGFXejgyOU1zUCtUZisxSzFOV2V2MlI4WlhxVXMzVWdpcnJjZkRlQmR0clhCRUZMZFB4clFkSEFOVk1pRHY3bHRCeDNKb0RJakwxRVpzY0N5ZkZhZUE5Lyt1YjhTbnRhYVVPN1RycDhWYmhZUEJKTDg2Szc4MCtuSUs2akRvdmxRSG8ySVZ2ZXZPNld2Y2hrY2tIRmpFYWlTVXFCS1V6OWdGNkZIdmRxVFJ0Nitia1VyU0RPSnlSWFRNWDZIK0VEbUN2N3RhaVBRbFVnWVpBV3FmQTRkRDV4azlWS3p6MlRnNGxyNjNqVXp6T0VRWmh2blg5SjBmcytXVEdhS2FkK091Tmc2Q01uNlphVFV2UC9pcDAyeTlOSHcvdmVuZlRaMlVmaTZkdU5rS0JYb0NvMll0ZmFKWVNnbitGQ3R2QUduQXYrSkJzR3MzeC9VY0RmQzdMQnR2NDhoYXJpZUpiaVB6N3dlL1cxUFladnJneTJyYytSbVBtNmtLd0lwUVFCNk1EaEc5K3k2ZmhuZnprNTZqZWFidW96cUt2TVRUUjBkdXZyTHdsZnczc3lwVFF6V2dHM05TMktMOWcvcW9QWjdsTlUvVWZuQk4yQnplUDY4MjMvMGlCaDg2aHd5ekVtRU9YQ3FFT081RjhJNXN3WUxNcEZtK1ZyRlNQWEJaMmlIMEQ0Y2haTTJlZWNZRzM1UEFyUDlvR3k4bEoxd21XM3BHZFFRVEp1NTMzdmFoc1RIWENBb2hkMzZ4eisrT3ZEQno5L2ZUb1JZQ3BKTk1WTVJ4ZXU1Z0hrKzhkUjJWTHZjR3Z0aGxrU3pxMXRNSEdmamN4RksvU3RwNW1wMVg3WlRDNWR1MXl2cmVBUTBvclVDenVOeGtpaW9nU3VwZXYvVlBvbUpVNUhmdFpIOFZaaGFkWnFJMmIwTkU3UUlnWXlxNjRiVmMrRXZydm01em1mWkdWcnErWXhZVjFJcFg2dE52dHpTUkVkeGNrYTZBNk56VXFZYjh5Q3hhVVdEZHZOcWdVMXhnY1NNUGJ0eTNZZERlN1Y0WnJWbE5scTUzd0ZQNGwyU25McXlTN1NqMG1SclhKYWZFdHFIbEhwSkxQMkZEYVhoTTRKRVJNZ3BmSkhBUFhhSXJYeHNGS2hvRTF0K01WKzNkNmRlYTBubjlSdy93TGNieXpqWnYveFpWRzVmTlp6bWErRmpHVEE0cEwvNGd2WlFXU3BPbXU4TUw0d3YvSnkreXFFQ2N3c1lhODE0VzcwQVZRRE96TzlHSkd6NnZNeHhkRUIzWEZNaE90aGx6UGliK3BuQ28yUGZlU1lKTG1ncGNPOTVubjdyMVVKTkRCRnl1MWJ5QkZNQUlsdlJDeExNNURyTGFkb1ZmdkI2VTdlUUpYK1A1ZFNGRDRVT1RNb295dFltUnFUT2s4TFVMb1NkZUlTL2lPUzJxSmVjNW9vMEE2OWMyTTdiZUdyclhPdEVuby9PSlVCSDZ2UDd0RmVUNVhWbnZJQWRXRTU5cUtIeFVuM2RxUVhJUzRVVXlmUE5uNXdCSTRIU2pidkFrV0pHNm0rNGEzK2xSNHp0REk0L2thbTd4UEp4aHoxUzNVbkRibEpmT0dqamllYkFvVFlkbjNPNjJjUEUxcnZhNVNyTUdNVFM1UGw3SnNKcVBjVnFNT0VpOXV1RDkvUUpQaU54THAwQVlkbXdiRTJ0T2EySUJ1cndxa1E3aEhJMytLcE5KbmFlWEJOai9ad0ZML0xMYW5heEZxZ3h0QWhZTU5HcGRyZ0RRMmJjY0ltSGd4VlpNSmxxVUkrRWxxMEJNME9zblUrRUxlMkwwRmdYeEpzQkVLQ1crbzM1b1N5dEpTSmlxR2l1d3lVMkU3ays0Nkl5dUlBMlM3VDljOS9UWnpwQkQvUC9qK2pWeFYrMVFPbE5EbDB5UnNEdHZCOGU5SVVta1ZkTWVIZHZoclpFMTgwMnJ0ZjhtVk4rMUtJUTdPZ1ZqUXhEVStSNU53MXVyMjNLVktIVHVvOVUvQWtCUGZpU0ZNVXhNNFM2MzlyWm1naFRBQ2FMTFBZSFZHcTB2NGpMQ0FSWHA2TmZKd1cyQTA1dnNCQkRtSGhwQmhkZ2ozU096bXFtazkxbnFsRlp4WiticVBzVldCbHR0cGFCeHRFZ2tlQVlLMi9FV2dVNEkrSlhyMVU5S1BkL3J3Qmh2Uy9Ya0VmTi9ZUzJVS3B6NXdzSTZ1ekM5clptT2ZEei9rKy96NndQVDBKMjBvL3Q3VW1sM0RZc2VvcG9pck9nR3k2endid01XNzA4ZWRwNWtIcjVRUmVIUXl3SjRCTHB3dlJCejF2MDJTZHZQbnkyOXV5cXh2NFJjUXJyTWxxSGw0LzlUSUt2U1RQRTZTWlgwR3NUbGx2SWJRPT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults
Super Townhouse Khar The Habitat,Deluxe Triple Room,Free cancellation,No prepayment needed,1 single bed,"₹ 16,647",-1,-1,4 km from centre,"Khar, Mumbai (Western Suburbs)",2025-07-01,2025-07-07,Mumbai,https://www.booking.com/hotel/in/townhouse-indias-got-latent-shoot-location-mumbai.en-gb.html?label=bombay-ojXiksgy7PQEP4LUUIOBsgS525624659405%3Apl%3Ata%3Ap1480%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100521%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=54a05c96e9fc0053&srepoch=1749649091&all_sr_blocks=1327318002_405334978_2_0_0&highlighted_blocks=1327318002_405334978_2_0_0&matching_block_id=1327318002_405334978_2_0_0&sr_pri_blocks=1327318002_405334978_2_0_0__1664733&from=searchresults
"Grey Mosaics by StayVista - Mountain-view villa in Vasai with Pool, Spacious lawn & Terrace",Villa,Free cancellation,,Entire villa • 5 bedrooms • 1 living room • 5 bathrooms • 1 kitchen • 743 m²5 large double beds,"₹ 190,944",-1,-1,34.4 km from centre,Mumbai,2025-07-01,2025-07-07,Mumbai,https://www.booking.com/hotel/in/stayvista-at-grey-mosaics.en-gb.html?label=bombay-ojXiksgy7PQEP4LUUIOBsgS525624659405%3Apl%3Ata%3Ap1480%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100521%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=54a05c96e9fc0053&srepoch=1749649091&all_sr_blocks=844178501_351353268_10_0_0_310472&highlighted_blocks=844178501_351353268_10_0_0_310472&matching_block_id=844178501_351353268_10_0_0_310472&sr_pri_blocks=844178501_351353268_10_0_0_310472_19094430&from=searchresults
Vibrant 2 BHK Apartment Near Airport,Two-Bedroom Apartment,Free cancellation,No prepayment needed,"3 beds (2 doubles, 1 sofa bed)","₹ 38,988",-1,-1,3 km from centre,"Santacruz, Mumbai (Western Suburbs)",2025-07-01,2025-07-07,Mumbai,https://www.booking.com/hotel/in/vibrant-2-bhk-apartment-near-airport.en-gb.html?label=bombay-ojXiksgy7PQEP4LUUIOBsgS525624659405%3Apl%3Ata%3Ap1480%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100521%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=54a05c96e9fc0053&srepoch=1749649091&all_sr_blocks=1412827601_413024124_3_0_0&highlighted_blocks=1412827601_413024124_3_0_0&matching_block_id=1412827601_413024124_3_0_0&sr_pri_blocks=1412827601_413024124_3_0_0__3898800&from=searchresults
Pinaki Comfort Stay,Two-Bedroom Apartment,Free cancellation,No prepayment needed,Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 550 m²2 single beds,"₹ 51,408",-1,-1,12.2 km from centre,"Western Suburbs, Mumbai (Western Suburbs)",2025-07-01,2025-07-07,Mumbai,https://www.booking.com/hotel/in/pinaki-comfort-stay-mumbai.en-gb.html?label=bombay-ojXiksgy7PQEP4LUUIOBsgS525624659405%3Apl%3Ata%3Ap1480%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100521%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=54a05c96e9fc0053&srepoch=1749649091&all_sr_blocks=1329314801_405489967_3_41_0&highlighted_blocks=1329314801_405489967_3_41_0&matching_block_id=1329314801_405489967_3_41_0&sr_pri_blocks=1329314801_405489967_3_41_0__5140800&from=searchresults
Pixiestays 1301 MIDC Andheri East,One-Bedroom Apartment,Free cancellation,No prepayment needed,"2 beds (1 extra-large double, 1 sofa bed)","₹ 21,600",-1,-1,5.3 km from centre,"Western Suburbs, Mumbai (Andheri)",2025-07-01,2025-07-07,Mumbai,https://www.booking.com/hotel/in/pixiestays-1301-midc-andheri-east.en-gb.html?label=bombay-ojXiksgy7PQEP4LUUIOBsgS525624659405%3Apl%3Ata%3Ap1480%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100521%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=54a05c96e9fc0053&srepoch=1749649091&all_sr_blocks=1370733201_409283915_3_0_0&highlighted_blocks=1370733201_409283915_3_0_0&matching_block_id=1370733201_409283915_3_0_0&sr_pri_blocks=1370733201_409283915_3_0_0__2160000&from=searchresults
Luxurious 4BHK Homestay in Kandivli Mumbai Spacious Scenic and Family Friendly,Apartment,Free cancellation,No prepayment needed,Entire apartment • 4 bedrooms • 1 living room • 4 bathrooms • 446 m²7 extra-large double beds,"₹ 45,000",-1,-1,16.7 km from centre,"Western Suburbs, Mumbai (Western Suburbs)",2025-07-01,2025-07-07,Mumbai,https://www.booking.com/hotel/in/luxurious-4bhk-homestay-in-kandivli-mumbai-spacious-scenic-and-family-friendly.en-gb.html?label=bombay-ojXiksgy7PQEP4LUUIOBsgS525624659405%3Apl%3Ata%3Ap1480%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100521%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=54a05c96e9fc0053&srepoch=1749649091&all_sr_blocks=1367730101_410771574_8_0_0&highlighted_blocks=1367730101_410771574_8_0_0&matching_block_id=1367730101_410771574_8_0_0&sr_pri_blocks=1367730101_410771574_8_0_0__4500000&from=searchresults
The Emerald Abode II Premium 1 Bed Condo Santacruz W,Two-Bedroom Apartment,Free cancellation,No prepayment needed,"3 beds (1 double, 1 sofa bed, 1 futon)","₹ 38,250",-1,-1,4.6 km from centre,"Western Suburbs, Mumbai (Western Suburbs)",2025-07-01,2025-07-07,Mumbai,https://www.booking.com/hotel/in/premium-spacious-amp-cozy-1bhk-santacruz-w.en-gb.html?label=bombay-ojXiksgy7PQEP4LUUIOBsgS525624659405%3Apl%3Ata%3Ap1480%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100521%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=54a05c96e9fc0053&srepoch=1749649091&all_sr_blocks=1208743401_393042261_3_0_0&highlighted_blocks=1208743401_393042261_3_0_0&matching_block_id=1208743401_393042261_3_0_0&sr_pri_blocks=1208743401_393042261_3_0_0__3825000&from=searchresults
The Ruby Abode ! Premium 1 bhk Santacruz (w),Two-Bedroom Apartment,Free cancellation,No prepayment needed,"3 beds (1 double, 1 sofa bed, 1 futon)","₹ 42,120",-1,-1,4.1 km from centre,"Santacruz, Mumbai (Western Suburbs)",2025-07-01,2025-07-07,Mumbai,https://www.booking.com/hotel/in/the-ruby-abode-premium-1-bhk-santacruz-w.en-gb.html?label=bombay-ojXiksgy7PQEP4LUUIOBsgS525624659405%3Apl%3Ata%3Ap1480%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100521%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=54a05c96e9fc0053&srepoch=1749649091&all_sr_blocks=1210193201_393193255_3_0_0&highlighted_blocks=1210193201_393193255_3_0_0&matching_block_id=1210193201_393193255_3_0_0&sr_pri_blocks=1210193201_393193255_3_0_0__4212000&from=searchresults
