name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
"Treebo Windsong Resort Munnar, Tea Plantation View",Economy Room,Free cancellation,No prepayment needed,1 double bed,"₹ 12,637",7.7,47,8.7 km from centre,Munnar,2025-07-01,2025-07-07,Munnar,https://www.booking.com/hotel/in/wind-song-munnar.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=991579603_400593152_2_0_0&highlighted_blocks=991579603_400593152_2_0_0&matching_block_id=991579603_400593152_2_0_0&sr_pri_blocks=991579603_400593152_2_0_0__1263681&from=searchresults
Treebo Wanderlust Residency With Mountain View,Standard Room with Mountain View,Free cancellation,No prepayment needed,1 large double bed,"₹ 9,658",7.3,184,8.7 km from centre,Munnar,2025-07-01,2025-07-07,Munnar,https://www.booking.com/hotel/in/treebo-trend-wanderlust-residency.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=718868201_400593706_2_2_0_319999&highlighted_blocks=718868201_400593706_2_2_0_319999&matching_block_id=718868201_400593706_2_2_0_319999&sr_pri_blocks=718868201_400593706_2_2_0_319999_965827&from=searchresults
Veu Munnar Retreat,Deluxe Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 9,240",6.6,89,9.3 km from centre,Munnar,2025-07-01,2025-07-07,Munnar,https://www.booking.com/hotel/in/veu-munnar-retreat.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=1318778206_404595151_2_42_0&highlighted_blocks=1318778206_404595151_2_42_0&matching_block_id=1318778206_404595151_2_42_0&sr_pri_blocks=1318778206_404595151_2_42_0__924000&from=searchresults
Kurinji Wanderlust Resort Munnar,Deluxe Room,Free cancellation,No prepayment needed,1 double bed,"₹ 10,525",8.4,789,1.2 km from centre,Munnar,2025-07-01,2025-07-07,Munnar,https://www.booking.com/hotel/in/treebo-kurinji-wanderlust-munnar.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=273915303_404630561_2_2_0_595043&highlighted_blocks=273915303_404630561_2_2_0_595043&matching_block_id=273915303_404630561_2_2_0_595043&sr_pri_blocks=273915303_404630561_2_2_0_595043_1052460&from=searchresults
Issacs Residency,Superior Twin Room,Free cancellation,No prepayment needed,2 single beds,"₹ 21,600",8.2,704,100 m from centre,Munnar,2025-07-01,2025-07-07,Munnar,https://www.booking.com/hotel/in/issacs-residency.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=232019802_380768345_2_42_0&highlighted_blocks=232019802_380768345_2_42_0&matching_block_id=232019802_380768345_2_42_0&sr_pri_blocks=232019802_380768345_2_42_0__2160000&from=searchresults
Pleasant Hill Resort,Deluxe Double Room with Balcony,Free cancellation,,1 large double bed,"₹ 17,754",8.6,421,18.3 km from centre,Munnar,2025-07-01,2025-07-07,Munnar,https://www.booking.com/hotel/in/pleasant-hill-resort.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=624201801_402420681_2_2_0&highlighted_blocks=624201801_402420681_2_2_0&matching_block_id=624201801_402420681_2_2_0&sr_pri_blocks=624201801_402420681_2_2_0__1775357&from=searchresults
Grand Plaza,Elegance Room,Free cancellation,,1 extra-large double bed,"₹ 22,950",8.6,681,1.5 km from centre,Munnar,2025-07-01,2025-07-07,Munnar,https://www.booking.com/hotel/in/grand-plaza-munnar.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=42149301_285664616_2_42_0&highlighted_blocks=42149301_285664616_2_42_0&matching_block_id=42149301_285664616_2_42_0&sr_pri_blocks=42149301_285664616_2_42_0__2295000&from=searchresults
Ayursakthi Riverdale,Deluxe Room,Free cancellation,,1 large double bed,"₹ 13,920",8.9,72,7.2 km from centre,Munnar,2025-07-01,2025-07-07,Munnar,https://www.booking.com/hotel/in/ayursakthi-riverdale-resorts.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=222490704_369505735_2_2_549755813888&highlighted_blocks=222490704_369505735_2_2_549755813888&matching_block_id=222490704_369505735_2_2_549755813888&sr_pri_blocks=222490704_369505735_2_2_549755813888__1392000&from=searchresults
Dew Drops Farm Resorts,Deluxe Double Room (2 Adults + 1 Child),Free cancellation,,1 large double bed,"₹ 16,688",7.6,80,11.6 km from centre,Munnar,2025-07-01,2025-07-07,Munnar,https://www.booking.com/hotel/in/dew-drops.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=190873001_390528137_2_42_0_641305&highlighted_blocks=190873001_390528137_2_42_0_641305&matching_block_id=190873001_390528137_2_42_0_641305&sr_pri_blocks=190873001_390528137_2_42_0_641305_1668750&from=searchresults
Hotel C7 Munnar,Deluxe Double Room,Free cancellation,,1 large double bed,"₹ 19,908",7.4,89,0.6 km from centre,Munnar,2025-07-01,2025-07-07,Munnar,https://www.booking.com/hotel/in/c7-munnar-munnar1.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=1133291201_402165558_2_42_0_271949&highlighted_blocks=1133291201_402165558_2_42_0_271949&matching_block_id=1133291201_402165558_2_42_0_271949&sr_pri_blocks=1133291201_402165558_2_42_0_271949_1990800&from=searchresults
