name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
STARLIGHT HOTELs PUDUCHERRY,Double Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 5,440",8.1,338,2.1 km from centre,Puducherry,2025-07-01,2025-07-07,Pondicherry,https://www.booking.com/hotel/in/starlight-hotels-puducherry.en-gb.html?label=pondicherry-5YiIKp6IDdMxZqtRDo96agS553184227320%3Apl%3Ata%3Ap190%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1918084288%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2108165&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=bd407a82b0cf0314&srepoch=1750009116&all_sr_blocks=1297171701_402630310_2_0_0&highlighted_blocks=1297171701_402630310_2_0_0&matching_block_id=1297171701_402630310_2_0_0&sr_pri_blocks=1297171701_402630310_2_0_0__544000&from=searchresults
Treebo Sri Vi Ka Residency,Deluxe Double Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 10,482",7.4,39,2.9 km from centre,Puducherry,2025-07-01,2025-07-07,Pondicherry,https://www.booking.com/hotel/in/sri-vi-ka-residency.en-gb.html?label=pondicherry-5YiIKp6IDdMxZqtRDo96agS553184227320%3Apl%3Ata%3Ap190%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1918084288%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2108165&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=bd407a82b0cf0314&srepoch=1750009116&all_sr_blocks=1115478706_404848125_2_1_0_834923&highlighted_blocks=1115478706_404848125_2_1_0_834923&matching_block_id=1115478706_404848125_2_1_0_834923&sr_pri_blocks=1115478706_404848125_2_1_0_834923_1048234&from=searchresults
Hotel 1Square,Double Room,,,1 double bed,"₹ 6,120",7.4,169,5.6 km from centre,Puducherry,2025-07-01,2025-07-07,Pondicherry,https://www.booking.com/hotel/in/1square.en-gb.html?label=pondicherry-5YiIKp6IDdMxZqtRDo96agS553184227320%3Apl%3Ata%3Ap190%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1918084288%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2108165&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=bd407a82b0cf0314&srepoch=1750009116&all_sr_blocks=1323311601_404993583_3_0_0&highlighted_blocks=1323311601_404993583_3_0_0&matching_block_id=1323311601_404993583_3_0_0&sr_pri_blocks=1323311601_404993583_3_0_0__612000&from=searchresults
Super Townhouse White Town Near Rock Beach,Classic Triple Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 7,790",9.4,8,0.8 km from centre,Puducherry,2025-07-01,2025-07-07,Pondicherry,https://www.booking.com/hotel/in/super-townhouse-white-town-near-rock-beach.en-gb.html?label=pondicherry-5YiIKp6IDdMxZqtRDo96agS553184227320%3Apl%3Ata%3Ap190%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1918084288%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2108165&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=bd407a82b0cf0314&srepoch=1750009116&all_sr_blocks=1389655501_411010836_2_0_0&highlighted_blocks=1389655501_411010836_2_0_0&matching_block_id=1389655501_411010836_2_0_0&sr_pri_blocks=1389655501_411010836_2_0_0__778966&from=searchresults
Super Hotel O White Town formerly Seascape Residency,Classic Triple Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 8,596",8.1,171,0.8 km from centre,Puducherry,2025-07-01,2025-07-07,Pondicherry,https://www.booking.com/hotel/in/oyo-flagship-47734-bussy-street-uc-pondicherry.en-gb.html?label=pondicherry-5YiIKp6IDdMxZqtRDo96agS553184227320%3Apl%3Ata%3Ap190%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1918084288%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2108165&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=bd407a82b0cf0314&srepoch=1750009116&all_sr_blocks=588519302_403629285_2_0_0&highlighted_blocks=588519302_403629285_2_0_0&matching_block_id=588519302_403629285_2_0_0&sr_pri_blocks=588519302_403629285_2_0_0__859578&from=searchresults
"Itsy Hotels Red Lotus Heritage, Promenade Beach",Deluxe Room,Free cancellation,No prepayment needed,Multiple bed types,"₹ 11,464",7.2,351,250 m from centre,"Heritage Town, Puducherry",2025-07-01,2025-07-07,Pondicherry,https://www.booking.com/hotel/in/treebo-red-lotus.en-gb.html?label=pondicherry-5YiIKp6IDdMxZqtRDo96agS553184227320%3Apl%3Ata%3Ap190%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1918084288%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2108165&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=bd407a82b0cf0314&srepoch=1750009116&all_sr_blocks=189338001_400593718_2_2_0_314361&highlighted_blocks=189338001_400593718_2_2_0_314361&matching_block_id=189338001_400593718_2_2_0_314361&sr_pri_blocks=189338001_400593718_2_2_0_314361_1146366&from=searchresults
"Treebo Golden Inn, 700 Mtrs From Promenade Beach",Deluxe Double Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 11,653",7.0,291,0.8 km from centre,Puducherry,2025-07-01,2025-07-07,Pondicherry,https://www.booking.com/hotel/in/golden-inn-pondicherry.en-gb.html?label=pondicherry-5YiIKp6IDdMxZqtRDo96agS553184227320%3Apl%3Ata%3Ap190%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1918084288%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2108165&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=bd407a82b0cf0314&srepoch=1750009116&all_sr_blocks=246020006_400592980_2_2_0_314661&highlighted_blocks=246020006_400592980_2_2_0_314661&matching_block_id=246020006_400592980_2_2_0_314661&sr_pri_blocks=246020006_400592980_2_2_0_314661_1165318&from=searchresults
"Treebo Royal Plaza, 700 Mts From Promenade Beach",Deluxe Room with Balcony,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 11,993",7.4,33,1.2 km from centre,Puducherry,2025-07-01,2025-07-07,Pondicherry,https://www.booking.com/hotel/in/treebo-royal-plaza-pondicherry.en-gb.html?label=pondicherry-5YiIKp6IDdMxZqtRDo96agS553184227320%3Apl%3Ata%3Ap190%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1918084288%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2108165&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bd407a82b0cf0314&srepoch=1750009116&all_sr_blocks=1332338302_405873152_2_1_0_835527&highlighted_blocks=1332338302_405873152_2_1_0_835527&matching_block_id=1332338302_405873152_2_1_0_835527&sr_pri_blocks=1332338302_405873152_2_1_0_835527_1199337&from=searchresults
"Treebo Grace Inn, 3 Min Walk From Promenade Beach",Superior Double Room,Free cancellation,No prepayment needed,Multiple bed types,"₹ 18,362",7.7,602,0.8 km from centre,Puducherry,2025-07-01,2025-07-07,Pondicherry,https://www.booking.com/hotel/in/treebo-grace-inn.en-gb.html?label=pondicherry-5YiIKp6IDdMxZqtRDo96agS553184227320%3Apl%3Ata%3Ap190%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1918084288%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2108165&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=bd407a82b0cf0314&srepoch=1750009116&all_sr_blocks=198453903_400592816_2_2_0_314733&highlighted_blocks=198453903_400592816_2_2_0_314733&matching_block_id=198453903_400592816_2_2_0_314733&sr_pri_blocks=198453903_400592816_2_2_0_314733_1836237&from=searchresults
Doubleonestays Hotel,Quadruple Room,Free cancellation,No prepayment needed,2 double beds,"₹ 7,360",7.0,92,6.3 km from centre,Puducherry,2025-07-01,2025-07-07,Pondicherry,https://www.booking.com/hotel/in/doubleonestays.en-gb.html?label=pondicherry-5YiIKp6IDdMxZqtRDo96agS553184227320%3Apl%3Ata%3Ap190%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1918084288%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2108165&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=bd407a82b0cf0314&srepoch=1750009116&all_sr_blocks=1352956102_407936623_3_0_0&highlighted_blocks=1352956102_407936623_3_0_0&matching_block_id=1352956102_407936623_3_0_0&sr_pri_blocks=1352956102_407936623_3_0_0__736000&from=searchresults
