name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
"Treebo Maharaja, Near Mall Road",Standard Double Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 9,965",7.7,259,0.5 km from centre,Shimla,2025-07-01,2025-07-07,Shimla,https://www.booking.com/hotel/in/oyo-rooms-near-mall-shimla.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=199970702_400593144_2_2_0_387357&highlighted_blocks=199970702_400593144_2_2_0_387357&matching_block_id=199970702_400593144_2_2_0_387357&sr_pri_blocks=199970702_400593144_2_2_0_387357_996540&from=searchresults
Treebo Varuna With Mountain View,Economy Double Room With Valley View,Free cancellation,No prepayment needed,1 large double bed,"₹ 11,984",6.9,348,0.6 km from centre,Shimla,2025-07-01,2025-07-07,Shimla,https://www.booking.com/hotel/in/treebo-varuna.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=201196111_400593072_2_2_0_314336&highlighted_blocks=201196111_400593072_2_2_0_314336&matching_block_id=201196111_400593072_2_2_0_314336&sr_pri_blocks=201196111_400593072_2_2_0_314336_1198402&from=searchresults
Townhouse Kachighati Formerly Palm Bliss,Classic Triple Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 9,309",7.9,13,3.4 km from centre,Shimla,2025-07-01,2025-07-07,Shimla,https://www.booking.com/hotel/in/townhouse-khachi-ghati-s-himla.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=1315428002_404327003_2_0_0&highlighted_blocks=1315428002_404327003_2_0_0&matching_block_id=1315428002_404327003_2_0_0&sr_pri_blocks=1315428002_404327003_2_0_0__930894&from=searchresults
Treebo Premium Torrentium - A Heritage Hotel,Standard Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 16,811",6.8,9,2.1 km from centre,"Chhota Shimla, Shimla",2025-07-01,2025-07-07,Shimla,https://www.booking.com/hotel/in/torrentium-lodge.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=114026010_408639614_2_1_0_1086994&highlighted_blocks=114026010_408639614_2_1_0_1086994&matching_block_id=114026010_408639614_2_1_0_1086994&sr_pri_blocks=114026010_408639614_2_1_0_1086994_1681074&from=searchresults
Treebo The Alpine Heritage Residency,Standard Double Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 11,399",7.3,154,1.3 km from centre,Shimla,2025-07-01,2025-07-07,Shimla,https://www.booking.com/hotel/in/oyo-rooms-heritage-bungalow-cart-road.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=166308803_392324512_2_2_0_888401&highlighted_blocks=166308803_392324512_2_2_0_888401&matching_block_id=166308803_392324512_2_2_0_888401&sr_pri_blocks=166308803_392324512_2_2_0_888401_1139916&from=searchresults
Hotel Victory since 1979,King Room with Mountain View,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 33,000",8.3,186,100 m from centre,Shimla,2025-07-01,2025-07-07,Shimla,https://www.booking.com/hotel/in/victory-since-1979.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=1198315503_392118705_3_42_0&highlighted_blocks=1198315503_392118705_3_42_0&matching_block_id=1198315503_392118705_3_42_0&sr_pri_blocks=1198315503_392118705_3_42_0__3300000&from=searchresults
Super Hotel O Kanlog Near ISBT Shimla Formerly Pine View Homestay,Classic Triple Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 6,910",10,4,0.8 km from centre,Shimla,2025-07-01,2025-07-07,Shimla,https://www.booking.com/hotel/in/oyo-pine-view.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=1143301102_387158249_2_0_0&highlighted_blocks=1143301102_387158249_2_0_0&matching_block_id=1143301102_387158249_2_0_0&sr_pri_blocks=1143301102_387158249_2_0_0__690951&from=searchresults
Aagaman Woods Homestay,Budget Double Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 6,555",9.1,39,3.5 km from centre,Shimla,2025-07-01,2025-07-07,Shimla,https://www.booking.com/hotel/in/shimla-aagaman-woods.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=805243004_413536899_0_2_0&highlighted_blocks=805243004_413536899_0_2_0&matching_block_id=805243004_413536899_0_2_0&sr_pri_blocks=805243004_413536899_0_2_0__655500&from=searchresults
GS cottage near Mall Road,Family Room with Mountain View,Free cancellation,No prepayment needed,"2 beds (1 single, 1 large double)","₹ 18,000",8.6,50,0.8 km from centre,Shimla,2025-07-01,2025-07-07,Shimla,https://www.booking.com/hotel/in/elysium-cottage-auckland-tunnel.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=1342298801_409574808_0_2_0&highlighted_blocks=1342298801_409574808_0_2_0&matching_block_id=1342298801_409574808_0_2_0&sr_pri_blocks=1342298801_409574808_0_2_0__1800000&from=searchresults
"Treebo Greenland, Mall Road",Standard Double Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 11,439",5.4,127,300 m from centre,Shimla,2025-07-01,2025-07-07,Shimla,https://www.booking.com/hotel/in/greenland.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=126894303_400593479_2_2_0_556105&highlighted_blocks=126894303_400593479_2_2_0_556105&matching_block_id=126894303_400593479_2_2_0_556105&sr_pri_blocks=126894303_400593479_2_2_0_556105_1143861&from=searchresults
