url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/vellara.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=112941313_243413579_2_1_0&highlighted_blocks=112941313_243413579_2_1_0&matching_block_id=112941313_243413579_2_1_0&sr_pri_blocks=112941313_243413579_2_1_0__1782000&from=searchresults,"{""Staff"": ""9.0"", ""Facilities"": ""7.9"", ""Cleanliness"": ""8.3"", ""Comfort"": ""8.4"", ""Value_for_money"": ""8.3"", ""Location"": ""9.1"", ""Free_WiFi"": ""8.5""}","[""Free WiFi"", ""Family rooms"", ""Free parking"", ""Restaurant"", ""Non-smoking rooms"", ""Room service"", ""24-hour front desk"", ""Laundry"", ""Tea/coffee maker in all rooms"", ""Very good breakfast""]",12:00,11:00
https://www.booking.com/hotel/in/hilton-bangalore-embassy-golflinks.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=58093005_94495244_2_41_0_196316&highlighted_blocks=58093005_94495244_2_41_0_196316&matching_block_id=58093005_94495244_2_41_0_196316&sr_pri_blocks=58093005_94495244_2_41_0_196316_9409500&nad_id=ed329c46-678e-4a2a-ac41-d87c8c14fb0f_0&nad_cpc=0.58&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NDk3MjA4Mjg5NDQsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiZ0lKdXlqejlzUWQ0RkNhMWg0R0xyeTlFSjFucjkwWVpSRnVHakVjcE1CdVozazFlRlBTaXVZeE1TVW5TRWpHZXcvMlc2T0htL3NQdGRnQy9ZQmxWUEhjTytaZEF6cWl2MkRpb2VWUE4wSk0wZlNuZndmMk1oVk1RZEw2UjFrUEQ2U1V6cDJLbFF6SGcxZ2h3d0hjS0hIUTk0ZUJEZW9vbjZNVzV4VjFxYmN4SzVtMWsvTXcvcHVLNFhVYVNnVTdTKzRTN21qRzZNVTBmM0hnZFREYzI1bktDSjZ1MjhLVDllOWwyakF2YzNEQ21QVzN0eUF3aDE3ZmdRS2JwQ240b3ZEODNCSDRIdVhUMWRiNGorZTVhc1V6VDI4VVhBUXRUREYvVmdFYjUrbi9EalBHeXpqWmExbWRxalZULzFnMWdNcDA0cWg5VkxKYlJsY2JMb2dJelFCT0tzYUhnRTdDb29SY1RxQS94Q3d3WFlQOTBBNVJNakNrZTZBeWF6ZUdzeGZtcDQydWlvVTZyblFaRTdORjFPSTgzNWlJT3loS0d0Z2lzVStDL2NIOG5IV0dHZVhHazR4R3JjTEdUK3JjVU9xVkNEbE5FUnRqcytjT0ZuOWF4QjN1S25vcXRQMHlxR2pTdzBoYnRCS3VCWDdXOERhd01XWnBjalgxQklYRVgvZ0NNRGNpVUhxVTJWOHNQZ0c1K25IT0pvNXFHOWxJTUF0UzNOblplaEZ0bmFaeHg1RXVEck5JN1JVVC9zUTRsTCtlbldkdldqTnplSmVFeDZKNnFPeFRJRlczMmhIbUt0VDRlaWg3TlAzTGlCWkhDaFVlZW4vSlpVb3ZYbW5kR0ZmN1ljSVROLzhJLzVVSW5xT05kbXcxWDh6R0QyTm5na2twOHAxQlh5MUM0UTlrU2lJVmVqR2EwMUdHWE1pb0NZeGVYaDlxU2U5VlQ2K2lTa2ZVNUJLbE5YZUR5V0FaU0tRc0ZuSGZTM0J5TW9LTDFnclNFRWpWT0JXbTVmRm1UcjJWb0U4MlhtVjFzWjVtdEl0Z1lLdDVsSGxZM0srYytpdGxjenEvclozcS9qSmQ1TWZ5ZnF3YjJQSFdsM1FvZlNiTXB6VWx6NE9OTEgvWk82K1NWVUZiWUpoWFdaWDhVR1lmYzVhbGlHaE9Hb1Q4dUpGa2Z2SWFxZGtxUVQ5VGp0YWtaazlhYlIrM1IvNGNmY2hoZEZaVCs0Nkh3MjY3UU0rdkJvdlZTSG8rRFUrS3lQYVR2THc4WWcyQm9Kb1dGUktaVFN6aE1LNnRhc0lHZFNJeXZlMWtxUlhXUjNnbk9QeXlDNzA3akVPWGdmU1RXZzE4TmRobW5PaFlGYkxFUjl5ZXJpam16cVN2cS96b1Z6UEJDZHh6MFdJQWxNYnF6RzIyTUtzM3JvdE1xT1oySFU3eTUvTmFLdEMvVzRKeis4S1NsYlRwclJ2eTNmZXRpSlZQd0E1S1c1dktkYkMwNjlWcTlzQnl3UmVlQ0c4Lzh6QkRST1MvSjhiNDlvbzhqZE9tR0xxV0JtYm9OLzJWTlpwTHJrVEdtTmZ4K2VHWHllQXd1R3dReEtUOURvdmFqTHg2RjJsb3IzckhRODlMc2VQQVVGaHdkNlB6Q2dWbituY203WGh2UW5YZmJYSG1Hc0JmaG8vZDlrOVE4VFBlT1AyaDhmK21wem1MdWpSdG05dzArd1ErY0lTV3FFTHIxR3NJOXNRRUNlOXhxK3hYTFJyekZiR2lLM0RVR21JNDdhZXBlQTNOSUE3NzVwMmk0a3Bkc2x5YnpOZWdEWDZlSnhtak5odC9LWENFanljV213REtoTExuUGhNWHpjcGRGT0tKVUlrUVIzdWE1Z1hKeTZZaHhXYVRLVS9VemsxTzlya0ZYRVhENGZsZFM5aUo5NkNweVc3UmZDcHAvd0MvK2FRVXh0NlJGMXZ0aGtDcXZtVGF2WWVQVldPeUtVSnJjdkp2OVE0SmJjSnFDMzdZTkU3UUlnWXlxNjRiVmMrRXZydm01em1mWkdWcnErWXhZVjFJcFg2dE52dHpTUkVkeGNrYTZBNk56VXFZYjh5Q3hhVVdEZHZOcWdVMXhnY1NNUGJ0eTNZZERlN1Y0WnJWbE5scTUzd0ZQNGwyU25McXlTN1NqMG1SclhKYWZFdHFIbEhwSkxQMkZEYVhoTTRKRVJNZ3BmSkhBUFhhSXJYeHNGS2hvRTF0K01WKzNkNmRlYTBubjlSdy93TGNieXpqWnYveFpWRzVmTlp6bWErRmpHVEE0cEwvNGd2WlFXU3BPbXU4TUw0d3YvSnkreXFFQ2N3c1lhODE0VzcwQVZRRE96TzlHSkd6NnZNeHhkRUIzWEZNaE90aGx6UGliK3BuQ28yUGZlU1lKTG1ncGNPOTVubjdyMVVKTkRCRnl1MWJ5QkZNQUlsdlJDeExNNURyTGFkb1ZmdkI2VTdlUUpYK1A1ZFNGRDRVT1RNb295dFltUnFUT2s4TFVMb1NkZUlTL2lPUzJxSmVjNW9vMEE2OWMyTTdiZUdyclhPdEVuby9PSlVCSDZ2UDd0RmVUNVhWbnZJQWRXRTU5cUtIeFVuM2RxUVhJUzRVVXlmUE5uNXdCSTRIU2pidkFrV0pHNm0rNGEzK2xSNHp0REk0L2thbTd4UEp4aHoxUzNVbkRibEpmT0dqamllYkFvVFlkbjNPNTBNUEUxcnZhNVNyTUdNVFM1UGw3SnNKcVBjVnFNT0VpOXV1RDkvUUpQaU54THAwQVlkbXdiRTJ0T2EySUJ1cndxa1E3aEhJMytLcE5KbmFlWEJOai9ad0ZML0xMYW5heEZxZ3h0QWhZTU5HcGRyZ0RRMmJjY0ltSGd4VlpNSmxxVUkrRWxxMEJNME9zblUrRUxlMkwwRmdYeEpzQkVLQ1crbzM1b1N5dEpTSmlxR2l1d3lVMkU3ays0Nkl5dUlBMlM3VDljOS9UWnpwQkQvUC9qK2pWeFYrMVFPbE5EbDB5UnNEdHZCOGU5SVVta1ZkTWVIZHZoclpFMTgwMnJ0ZjhtVk4rMUtJUTdPZ1ZqUXhEVStSNU53MXVyMjNLVktIVHVvOVUvQWtCUGZpU0ZNVXhNNFM2MzlyWm1naFRBQ2FMTFBZSFZHcTB2NGpMQ0FSWHA2TmZKd1cyQTA1dnNCQkRtSGhwQmhkZ2ozU096bXFtazkxbnFsRlp4WiticVBzVldCbHR0cGFCeHRFZ2tlQVlLMi9FV2dVNEkrSlhyMVU5S1BkL3J3Qmh2Uy9Ya0VmTi9ZUzJVS1o0NFFJTjYvek0rT0J6Qjl6MCtGeXEzcTRSRkZwdWtvejE4Vi83aFNjNmZkTjIxL3V4RUhHejBxQmFIdk1zSjl4OXZUQzBFQXFyUkNzMTR4YnVpSkVhbGhydHlERXNXeTd6c1BxNzFzQWpmQWZxT2gzUDZzRHZWZG1zblQvTndHMERqZmNpSXZsdkJWYUFXT2ZCSFNaUiJ9&from_sustainable_property_sr=1&from=searchresults,"{""Staff"": ""9.0"", ""Facilities"": ""8.8"", ""Cleanliness"": ""9.1"", ""Comfort"": ""9.0"", ""Value_for_money"": ""7.8"", ""Location"": ""8.8""}","[""Outdoor swimming pool"", ""WiFi available in all areas"", ""Airport shuttle (free)"", ""Family rooms"", ""Free parking"", ""Fitness centre"", ""4 restaurants"", ""Tea/coffee maker in all rooms"", ""Bar"", ""Exceptional breakfast""]",00:00,12:00
https://www.booking.com/hotel/in/staymazing-ferndale-1-2-amp-3-bhk-boutique-serviced-apartment-hebbal.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=1243197802_410032901_2_0_0_901592&highlighted_blocks=1243197802_410032901_2_0_0_901592&matching_block_id=1243197802_410032901_2_0_0_901592&sr_pri_blocks=1243197802_410032901_2_0_0_901592_1030800&from=searchresults,"{""Staff"": ""8.1"", ""Facilities"": ""8.2"", ""Cleanliness"": ""8.3"", ""Comfort"": ""8.4"", ""Value_for_money"": ""8.1"", ""Location"": ""7.6"", ""Free_WiFi"": ""8.1""}","[""Free WiFi"", ""Airport shuttle"", ""Family rooms"", ""Free parking"", ""Non-smoking rooms"", ""24-hour front desk"", ""Laundry""]",10:00,
https://www.booking.com/hotel/in/truelife-whitefield-premium-1-bhk-apartments-bengaluru.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=1332550402_411253287_2_0_0&highlighted_blocks=1332550402_411253287_2_0_0&matching_block_id=1332550402_411253287_2_0_0&sr_pri_blocks=1332550402_411253287_2_0_0__1647000&from=searchresults,"{""Staff"": ""9.0"", ""Facilities"": ""8.9"", ""Cleanliness"": ""9.2"", ""Comfort"": ""9.2"", ""Value_for_money"": ""8.6"", ""Location"": ""8.2"", ""Free_WiFi"": ""8.3""}","[""Free WiFi"", ""Family rooms"", ""Free parking"", ""Non-smoking rooms"", ""Room service"", ""24-hour front desk"", ""Laundry""]",11:00,
https://www.booking.com/hotel/in/the-porch-inn-amp-service-apartment.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=393493701_213213546_2_42_0&highlighted_blocks=393493701_213213546_2_42_0&matching_block_id=393493701_213213546_2_42_0&sr_pri_blocks=393493701_213213546_2_42_0__1264428&from=searchresults,"{""Staff"": ""9.2"", ""Facilities"": ""8.2"", ""Cleanliness"": ""8.7"", ""Comfort"": ""8.6"", ""Value_for_money"": ""8.4"", ""Location"": ""8.6"", ""Free_WiFi"": ""8.1""}","[""Free WiFi"", ""Airport shuttle"", ""Family rooms"", ""Free parking"", ""Non-smoking rooms"", ""Room service"", ""24-hour front desk"", ""Facilities for disabled guests"", ""Tea/coffee maker in all rooms"", ""Fabulous breakfast""]",11:00,
https://www.booking.com/hotel/in/tulip-inn-koramangala.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=815052304_351045830_2_42_0&highlighted_blocks=815052304_351045830_2_42_0&matching_block_id=815052304_351045830_2_42_0&sr_pri_blocks=815052304_351045830_2_42_0__2700000&from=searchresults,"{""Staff"": ""8.7"", ""Facilities"": ""8.1"", ""Cleanliness"": ""8.2"", ""Comfort"": ""8.3"", ""Value_for_money"": ""8.1"", ""Location"": ""8.4""}","[""Family rooms"", ""Free parking"", ""Fitness centre"", ""Restaurant"", ""Non-smoking rooms"", ""Room service"", ""24-hour front desk"", ""Laundry"", ""Tea/coffee maker in all rooms"", ""Fabulous breakfast""]",12:00,
https://www.booking.com/hotel/in/ibis-bengaluru-city-centre.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=111633202_94582433_2_42_0&highlighted_blocks=111633202_94582433_2_42_0&matching_block_id=111633202_94582433_2_42_0&sr_pri_blocks=111633202_94582433_2_42_0__2495800&from_sustainable_property_sr=1&from=searchresults,"{""Staff"": ""8.0"", ""Facilities"": ""7.1"", ""Cleanliness"": ""7.5"", ""Comfort"": ""7.4"", ""Value_for_money"": ""6.8"", ""Location"": ""8.4"", ""Free_WiFi"": ""6.7""}","[""Free WiFi"", ""Airport shuttle"", ""Free parking"", ""Fitness centre"", ""Restaurant"", ""Non-smoking rooms"", ""Room service"", ""Tea/coffee maker in all rooms"", ""Bar"", ""Breakfast""]",12:00,
https://www.booking.com/hotel/in/rize-inn.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=1277530902_403081536_2_2_0&highlighted_blocks=1277530902_403081536_2_2_0&matching_block_id=1277530902_403081536_2_2_0&sr_pri_blocks=1277530902_403081536_2_2_0__1107000&from=searchresults,"{""Staff"": ""9.6"", ""Facilities"": ""8.7"", ""Cleanliness"": ""9.2"", ""Comfort"": ""9.2"", ""Value_for_money"": ""9.0"", ""Location"": ""8.9""}","[""Free WiFi"", ""Family rooms"", ""Non-smoking rooms"", ""Room service"", ""24-hour front desk"", ""Breakfast""]",12:00,11:00
https://www.booking.com/hotel/in/sliceinn-sylva-wilson-garden.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=1391982903_412800985_2_0_0&highlighted_blocks=1391982903_412800985_2_0_0&matching_block_id=1391982903_412800985_2_0_0&sr_pri_blocks=1391982903_412800985_2_0_0__1029200&from=searchresults,"{""Staff"": ""8.8"", ""Facilities"": ""9.1"", ""Cleanliness"": ""9.7"", ""Comfort"": ""9.1"", ""Value_for_money"": ""9.1"", ""Location"": ""9.1"", ""Free_WiFi"": ""10""}","[""Free WiFi"", ""Family rooms"", ""Free parking"", ""Non-smoking rooms""]",14:00,11:00
https://www.booking.com/hotel/in/the-sanctum-suites-whitefield.en-gb.html?label=in-bangalore-IvEBMI8evXKgb5K6o*nE5gS525624658703%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100511%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=be08456c30f4f65c80ad3e6d40b384ca&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=26dd433e4b290733&srepoch=1749722209&all_sr_blocks=336990601_378433584_2_41_0&highlighted_blocks=336990601_378433584_2_41_0&matching_block_id=336990601_378433584_2_41_0&sr_pri_blocks=336990601_378433584_2_41_0__1470000&from=searchresults,"{""Staff"": ""8.3"", ""Facilities"": ""7.5"", ""Cleanliness"": ""7.7"", ""Comfort"": ""7.8"", ""Value_for_money"": ""7.5"", ""Location"": ""8.3"", ""Free_WiFi"": ""7.7""}","[""Free WiFi"", ""Airport shuttle (free)"", ""Free parking"", ""Restaurant"", ""Non-smoking rooms"", ""Room service"", ""24-hour front desk"", ""Facilities for disabled guests"", ""Laundry"", ""Breakfast""]",12:00,11:00
