url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/kasturi-palace-amp-restaurant-darjeeling-darjeeling.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1388602702_414191253_2_2_0&highlighted_blocks=1388602702_414191253_2_2_0&matching_block_id=1388602702_414191253_2_2_0&sr_pri_blocks=1388602702_414191253_2_2_0__900000&from=searchresults,"{""Staff"": ""7.7"", ""Facilities"": ""7.7"", ""Cleanliness"": ""7.8"", ""Comfort"": ""7.8"", ""Value_for_money"": ""7.5"", ""Location"": ""7.2""}","[""Free WiFi"", ""Free parking"", ""Breakfast""]",05:00,
https://www.booking.com/hotel/in/pahari-soul.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=86368204_335402537_2_42_0&highlighted_blocks=86368204_335402537_2_42_0&matching_block_id=86368204_335402537_2_42_0&sr_pri_blocks=86368204_335402537_2_42_0__702000&from=searchresults,"{""Staff"": ""8.4"", ""Facilities"": ""7.7"", ""Cleanliness"": ""8.0"", ""Comfort"": ""8.1"", ""Value_for_money"": ""8.1"", ""Location"": ""8.2"", ""Free_WiFi"": ""8.1""}","[""Free WiFi"", ""Private parking"", ""Room service"", ""Non-smoking rooms"", ""Family rooms"", ""Airport shuttle"", ""Bar"", ""BBQ facilities"", ""Good breakfast""]",12:00,11:00
https://www.booking.com/hotel/in/haven-eleven.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1008188103_373545904_0_1_0&highlighted_blocks=1008188103_373545904_0_1_0&matching_block_id=1008188103_373545904_0_1_0&sr_pri_blocks=1008188103_373545904_0_1_0__1979400&from=searchresults,"{""Staff"": ""10"", ""Facilities"": ""9.5"", ""Cleanliness"": ""9.8"", ""Comfort"": ""9.8"", ""Value_for_money"": ""9.6"", ""Location"": ""9.8"", ""Free_WiFi"": ""10""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Non-smoking rooms"", ""Family rooms"", ""Airport shuttle"", ""Breakfast""]",14:00,
https://www.booking.com/hotel/in/pineridge-darjeeling.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1309389704_407331360_2_40_0&highlighted_blocks=1309389704_407331360_2_40_0&matching_block_id=1309389704_407331360_2_40_0&sr_pri_blocks=1309389704_407331360_2_40_0__1380000&from=searchresults,"{""Staff"": ""6.5"", ""Facilities"": ""5.4"", ""Cleanliness"": ""5.8"", ""Comfort"": ""6.0"", ""Value_for_money"": ""6.2"", ""Location"": ""8.7"", ""Free_WiFi"": ""6.3""}","[""Free WiFi"", ""Room service"", ""Non-smoking rooms"", ""Family rooms""]",11:00,
https://www.booking.com/hotel/in/broadway-annecy-darjeeling-near-mall-road-with-luxury-amp-spacious-room-book-now.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1386734002_410977750_2_42_0&highlighted_blocks=1386734002_410977750_2_42_0&matching_block_id=1386734002_410977750_2_42_0&sr_pri_blocks=1386734002_410977750_2_42_0__1319400&from=searchresults,"{""Location"": ""8.1"", ""Cleanliness"": ""8.0"", ""Value_for_money"": ""7.8""}",[],,
https://www.booking.com/hotel/in/asraya-homestay.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1287966404_401746283_2_42_0&highlighted_blocks=1287966404_401746283_2_42_0&matching_block_id=1287966404_401746283_2_42_0&sr_pri_blocks=1287966404_401746283_2_42_0__1200000&from=searchresults,"{""Staff"": ""9.6"", ""Facilities"": ""8.9"", ""Cleanliness"": ""9.5"", ""Comfort"": ""9.4"", ""Value_for_money"": ""9.2"", ""Location"": ""8.7"", ""Free_WiFi"": ""10""}","[""Good free WiFi (41 Mbps)"", ""Parking"", ""Non-smoking rooms"", ""Breakfast"", ""Free cot available on request""]",10:30,
https://www.booking.com/hotel/in/premium-olive-branch-near-chowrasta-tourist-attraction-darjiling.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1382787002_410465029_2_42_0&highlighted_blocks=1382787002_410465029_2_42_0&matching_block_id=1382787002_410465029_2_42_0&sr_pri_blocks=1382787002_410465029_2_42_0__879000&from=searchresults,"{""Location"": ""10"", ""Cleanliness"": ""10"", ""Value_for_money"": ""8.8""}",[],,
https://www.booking.com/hotel/in/a-premium-olive-branch-darjeeling-near-gurudwara-best-in-darjeelig.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=1386711402_411841467_2_0_0&highlighted_blocks=1386711402_411841467_2_0_0&matching_block_id=1386711402_411841467_2_0_0&sr_pri_blocks=1386711402_411841467_2_0_0__879000&from=searchresults,"{""Staff"": ""10"", ""Facilities"": ""9.5"", ""Cleanliness"": ""9.5"", ""Comfort"": ""10"", ""Value_for_money"": ""10"", ""Location"": ""9.5""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Non-smoking rooms"", ""Family rooms"", ""Airport shuttle""]",08:00,
https://www.booking.com/hotel/in/lovely-2-bedroom-apartment-with-kanchenjunga-view.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=907624108_410589289_0_0_0&highlighted_blocks=907624108_410589289_0_0_0&matching_block_id=907624108_410589289_0_0_0&sr_pri_blocks=907624108_410589289_0_0_0__1200000&from=searchresults,"{""Location"": ""7.7"", ""Cleanliness"": ""9.2"", ""Value_for_money"": ""8.7""}",[],,
https://www.booking.com/hotel/in/jai-darjeeling1.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793461&all_sr_blocks=320660501_195919496_2_42_0&highlighted_blocks=320660501_195919496_2_42_0&matching_block_id=320660501_195919496_2_42_0&sr_pri_blocks=320660501_195919496_2_42_0__2540800&from=searchresults,"{""Location"": ""8.7"", ""Cleanliness"": ""8.5"", ""Value_for_money"": ""7.9""}",[],,
