url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/oyo-14197-curlies-zulu-land-cottages-goa12.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=432809403_224887253_2_41_0_559194&highlighted_blocks=432809403_224887253_2_41_0_559194&matching_block_id=432809403_224887253_2_41_0_559194&sr_pri_blocks=432809403_224887253_2_41_0_559194_1048907&from=searchresults,"{""Staff"": ""7.9"", ""Facilities"": ""7.0"", ""Cleanliness"": ""7.3"", ""Comfort"": ""7.3"", ""Value_for_money"": ""7.2"", ""Location"": ""8.0"", ""Free_WiFi"": ""6.3""}","[""Free parking"", ""Fitness centre"", ""Room service"", ""Spa and wellness centre"", ""Non-smoking rooms"", ""Restaurant"", ""Free WiFi"", ""Bar"", ""Breakfast""]",12:30,11:00
https://www.booking.com/hotel/in/summit-calangute-resort-amp-spa.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=913130304_413033368_2_42_0_780361&highlighted_blocks=913130304_413033368_2_42_0_780361&matching_block_id=913130304_413033368_2_42_0_780361&sr_pri_blocks=913130304_413033368_2_42_0_780361_1591500&from=searchresults,{},[],,
https://www.booking.com/hotel/in/bluo-goa.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1337312501_414929024_2_42_0_905517&highlighted_blocks=1337312501_414929024_2_42_0_905517&matching_block_id=1337312501_414929024_2_42_0_905517&sr_pri_blocks=1337312501_414929024_2_42_0_905517_1836000&from=searchresults,"{""Staff"": ""9.6"", ""Facilities"": ""9.5"", ""Cleanliness"": ""9.5"", ""Comfort"": ""9.6"", ""Value_for_money"": ""9.5"", ""Location"": ""9.5"", ""Free_WiFi"": ""10""}","[""Outdoor swimming pool"", ""Free parking"", ""Room service"", ""Non-smoking rooms"", ""Restaurant"", ""Free WiFi"", ""Tea/coffee maker in all rooms"", ""Bar"", ""Breakfast"", ""Free cot available on request""]",11:00,
https://www.booking.com/hotel/in/baga-treasures.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1161908710_402724317_4_0_0&highlighted_blocks=1161908710_402724317_4_0_0&matching_block_id=1161908710_402724317_4_0_0&sr_pri_blocks=1161908710_402724317_4_0_0__1720000&from=searchresults,"{""Staff"": ""9.1"", ""Facilities"": ""8.9"", ""Cleanliness"": ""9.2"", ""Comfort"": ""9.1"", ""Value_for_money"": ""9.0"", ""Location"": ""9.0"", ""Free_WiFi"": ""8.1""}","[""Free parking"", ""Room service"", ""Restaurant"", ""Free WiFi"", ""Bar"", ""24-hour front desk"", ""Tea/coffee maker in all rooms""]",11:00,
https://www.booking.com/hotel/in/lykke-suites-a-unit-by-goan-felicidade-hospitality-private-limited.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1304420204_413825241_2_2_0_890714&highlighted_blocks=1304420204_413825241_2_2_0_890714&matching_block_id=1304420204_413825241_2_2_0_890714&sr_pri_blocks=1304420204_413825241_2_2_0_890714_1591824&from=searchresults,"{""Staff"": ""9.7"", ""Facilities"": ""9.1"", ""Cleanliness"": ""9.7"", ""Comfort"": ""9.5"", ""Value_for_money"": ""9.2"", ""Location"": ""8.7""}","[""Indoor swimming pool"", ""Free parking"", ""Room service"", ""Non-smoking rooms"", ""Free WiFi"", ""Beachfront"", ""Family rooms"", ""Tea/coffee maker in all rooms"", ""Breakfast""]",12:00,
https://www.booking.com/hotel/in/sea-voyage-calangute.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1273697007_403855856_3_0_0_926399&highlighted_blocks=1273697007_403855856_3_0_0_926399&matching_block_id=1273697007_403855856_3_0_0_926399&sr_pri_blocks=1273697007_403855856_3_0_0_926399_1660000&from=searchresults,"{""Staff"": ""9.4"", ""Facilities"": ""9.1"", ""Cleanliness"": ""9.2"", ""Comfort"": ""9.3"", ""Value_for_money"": ""9.2"", ""Location"": ""8.9"", ""Free_WiFi"": ""8.5""}","[""Indoor swimming pool"", ""Free parking"", ""Room service"", ""Restaurant"", ""Free WiFi"", ""Family rooms"", ""Bar"", ""24-hour front desk"", ""Breakfast""]",11:00,
https://www.booking.com/hotel/in/grand-continent-morjim.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1209072902_393084600_2_2_0&highlighted_blocks=1209072902_393084600_2_2_0&matching_block_id=1209072902_393084600_2_2_0&sr_pri_blocks=1209072902_393084600_2_2_0__2235312&from=searchresults,"{""Location"": ""7.2"", ""Cleanliness"": ""8.7"", ""Value_for_money"": ""7.9""}",[],,
https://www.booking.com/hotel/in/rock-valley-goa.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=537319503_400593236_2_2_0_320249&highlighted_blocks=537319503_400593236_2_2_0_320249&matching_block_id=537319503_400593236_2_2_0_320249&sr_pri_blocks=537319503_400593236_2_2_0_320249_1501254&from=searchresults,"{""Location"": ""8.0"", ""Cleanliness"": ""7.9"", ""Value_for_money"": ""7.6""}","[""Outdoor swimming pool"", ""Free parking"", ""Family rooms"", ""Non-smoking rooms""]",,
https://www.booking.com/hotel/in/the-astor-goa.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1090521502_410085027_2_1_0_501232&highlighted_blocks=1090521502_410085027_2_1_0_501232&matching_block_id=1090521502_410085027_2_1_0_501232&sr_pri_blocks=1090521502_410085027_2_1_0_501232_4840992&from=searchresults,"{""Location"": ""8.1"", ""Cleanliness"": ""9.5"", ""Value_for_money"": ""9.0""}","[""Outdoor swimming pool"", ""Airport shuttle"", ""Fitness centre"", ""Non-smoking rooms""]",,
https://www.booking.com/hotel/in/samara-wellness.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749825617&all_sr_blocks=1114974005_410204694_2_42_0_907552&highlighted_blocks=1114974005_410204694_2_42_0_907552&matching_block_id=1114974005_410204694_2_42_0_907552&sr_pri_blocks=1114974005_410204694_2_42_0_907552_2026984&from=searchresults,{},"[""Indoor swimming pool"", ""Free parking"", ""Family rooms"", ""Non-smoking rooms""]",,
