url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/mee-homes-hitec-city.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1268284801_399552900_6_0_0&highlighted_blocks=1268284801_399552900_6_0_0&matching_block_id=1268284801_399552900_6_0_0&sr_pri_blocks=1268284801_399552900_6_0_0__2400000&from=searchresults,{},[],,
https://www.booking.com/hotel/in/lavish-premium-2bhk-jublee-hills-apollo.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1364397001_408735570_3_0_0&highlighted_blocks=1364397001_408735570_3_0_0&matching_block_id=1364397001_408735570_3_0_0&sr_pri_blocks=1364397001_408735570_3_0_0__2970000&from=searchresults,{},"[""Free parking"", ""Free WiFi"", ""Family rooms""]",22:00,
https://www.booking.com/hotel/in/melody-hyderabad.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=947466201_367327747_4_0_0&highlighted_blocks=947466201_367327747_4_0_0&matching_block_id=947466201_367327747_4_0_0&sr_pri_blocks=947466201_367327747_4_0_0__1470000&from=searchresults,"{""Staff"": ""6.9"", ""Facilities"": ""6.0"", ""Cleanliness"": ""5.9"", ""Comfort"": ""6.5"", ""Value_for_money"": ""5.6"", ""Location"": ""6.2""}","[""Good free WiFi (36 Mbps)"", ""Family rooms"", ""24-hour front desk""]",10:00,
https://www.booking.com/hotel/in/srr-homes-hyderbabd.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1372265701_409414928_4_0_0&highlighted_blocks=1372265701_409414928_4_0_0&matching_block_id=1372265701_409414928_4_0_0&sr_pri_blocks=1372265701_409414928_4_0_0__5670000&from=searchresults,"{""Location"": ""10"", ""Cleanliness"": ""10"", ""Value_for_money"": ""7.5""}","[""Free WiFi"", ""Free parking""]",,
https://www.booking.com/hotel/in/maya-homestay-2bhk-flat-near-us-counsulate-gachibowli.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1340075101_406420864_4_0_0&highlighted_blocks=1340075101_406420864_4_0_0&matching_block_id=1340075101_406420864_4_0_0&sr_pri_blocks=1340075101_406420864_4_0_0__2940000&from=searchresults,{},[],,
https://www.booking.com/hotel/in/fargo-valley.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1405139702_412318584_6_0_0&highlighted_blocks=1405139702_412318584_6_0_0&matching_block_id=1405139702_412318584_6_0_0&sr_pri_blocks=1405139702_412318584_6_0_0__15101700&from=searchresults,{},"[""2 swimming pools"", ""Free parking"", ""Facilities for disabled guests""]",14:00,11:00
https://www.booking.com/hotel/in/lemon-drop-farmstay.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1321026801_404793766_7_0_0&highlighted_blocks=1321026801_404793766_7_0_0&matching_block_id=1321026801_404793766_7_0_0&sr_pri_blocks=1321026801_404793766_7_0_0__7500000&from=searchresults,{},"[""Swimming Pool"", ""Free parking"", ""Free WiFi""]",,
https://www.booking.com/hotel/in/avasa-residency.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1246126701_396816354_3_0_0&highlighted_blocks=1246126701_396816354_3_0_0&matching_block_id=1246126701_396816354_3_0_0&sr_pri_blocks=1246126701_396816354_3_0_0__1350000&from=searchresults,{},"[""Free parking""]",,
https://www.booking.com/hotel/in/stayvista-at-aj-house.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1175444501_390093046_24_0_0&highlighted_blocks=1175444501_390093046_24_0_0&matching_block_id=1175444501_390093046_24_0_0&sr_pri_blocks=1175444501_390093046_24_0_0__93906000&from=searchresults,"{""Staff"": ""10"", ""Facilities"": ""10"", ""Cleanliness"": ""10"", ""Comfort"": ""10"", ""Value_for_money"": ""10"", ""Location"": ""10""}","[""Outdoor swimming pool"", ""Free parking"", ""Non-smoking rooms"", ""Free WiFi"", ""Facilities for disabled guests""]",11:00,
https://www.booking.com/hotel/in/changemakers-oasis.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1273418801_400148353_4_0_0&highlighted_blocks=1273418801_400148353_4_0_0&matching_block_id=1273418801_400148353_4_0_0&sr_pri_blocks=1273418801_400148353_4_0_0__1823544&from=searchresults,"{""Staff"": ""7.5"", ""Facilities"": ""7.5"", ""Cleanliness"": ""7.0"", ""Comfort"": ""8.0"", ""Value_for_money"": ""8.0"", ""Location"": ""8.5"", ""Free_WiFi"": ""10""}","[""Swimming Pool"", ""Free parking"", ""Free WiFi""]",10:00,
