url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/green-view-kolkata.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=69752308_400592798_2_2_0_33819&highlighted_blocks=69752308_400592798_2_2_0_33819&matching_block_id=69752308_400592798_2_2_0_33819&sr_pri_blocks=69752308_400592798_2_2_0_33819_1162105&from=searchresults,"{""Staff"": ""7.3"", ""Facilities"": ""6.0"", ""Cleanliness"": ""6.1"", ""Comfort"": ""6.1"", ""Value_for_money"": ""6.1"", ""Location"": ""7.2"", ""Free_WiFi"": ""6.5""}","[""Non-smoking rooms"", ""Room service"", ""Free WiFi"", ""Family rooms"", ""24-hour front desk"", ""Tea/coffee maker in all rooms"", ""Good breakfast""]",13:00,11:00
https://www.booking.com/hotel/in/collection-o-shankar-guest-house.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=1303120501_403183435_2_0_0&highlighted_blocks=1303120501_403183435_2_0_0&matching_block_id=1303120501_403183435_2_0_0&sr_pri_blocks=1303120501_403183435_2_0_0__760468&from=searchresults,"{""Staff"": ""8.3"", ""Facilities"": ""7.5"", ""Cleanliness"": ""8.3"", ""Comfort"": ""9.2"", ""Value_for_money"": ""9.2"", ""Location"": ""9.2""}","[""Room service"", ""Free WiFi"", ""Family rooms"", ""24-hour front desk""]",12:00,11:00
https://www.booking.com/hotel/in/treebo-trend-reotel.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=793584701_400593111_2_0_0_33999&highlighted_blocks=793584701_400593111_2_0_0_33999&matching_block_id=793584701_400593111_2_0_0_33999&sr_pri_blocks=793584701_400593111_2_0_0_33999_1119744&from=searchresults,"{""Staff"": ""8.1"", ""Facilities"": ""7.0"", ""Cleanliness"": ""7.2"", ""Comfort"": ""7.0"", ""Value_for_money"": ""6.8"", ""Location"": ""8.3"", ""Free_WiFi"": ""8.1""}","[""Room service"", ""Free WiFi"", ""Family rooms"", ""24-hour front desk"", ""Breakfast""]",13:00,11:00
https://www.booking.com/hotel/in/treebo-trend-royal-orbit-kolkata.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=1112498101_397216287_2_2_0_314697&highlighted_blocks=1112498101_397216287_2_2_0_314697&matching_block_id=1112498101_397216287_2_2_0_314697&sr_pri_blocks=1112498101_397216287_2_2_0_314697_1183570&from=searchresults,"{""Staff"": ""8.4"", ""Facilities"": ""7.7"", ""Cleanliness"": ""7.9"", ""Comfort"": ""8.3"", ""Value_for_money"": ""8.2"", ""Location"": ""8.2"", ""Free_WiFi"": ""8.3""}","[""Non-smoking rooms"", ""Room service"", ""Free WiFi"", ""Family rooms"", ""24-hour front desk"", ""Tea/coffee maker in all rooms"", ""Breakfast""]",13:00,11:00
https://www.booking.com/hotel/in/oyo-rooms-salt-lake-sector-3-city-centre-1.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=152071004_392321510_2_2_0_34003&highlighted_blocks=152071004_392321510_2_2_0_34003&matching_block_id=152071004_392321510_2_2_0_34003&sr_pri_blocks=152071004_392321510_2_2_0_34003_1447794&from=searchresults,{},[],,
https://www.booking.com/hotel/in/oyo-flagship-11435-aria-grand-esplanade-kolkata3.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=1312364902_407121750_2_2_0&highlighted_blocks=1312364902_407121750_2_2_0&matching_block_id=1312364902_407121750_2_2_0&sr_pri_blocks=1312364902_407121750_2_2_0__859101&from=searchresults,{},[],,
https://www.booking.com/hotel/in/orion-west-willows.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=175882904_397218186_2_2_0_316909&highlighted_blocks=175882904_397218186_2_2_0_316909&matching_block_id=175882904_397218186_2_2_0_316909&sr_pri_blocks=175882904_397218186_2_2_0_316909_1251688&from=searchresults,"{""Staff"": ""7.2"", ""Facilities"": ""6.4"", ""Cleanliness"": ""6.7"", ""Comfort"": ""6.3"", ""Value_for_money"": ""6.6"", ""Location"": ""7.7"", ""Free_WiFi"": ""6.0""}","[""Room service"", ""Free WiFi"", ""Free parking"", ""Airport shuttle"", ""24-hour front desk"", ""Tea/coffee maker in all rooms"", ""Exceptional breakfast""]",13:00,11:00
https://www.booking.com/hotel/in/novotel-kolkata.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=101520101_93772844_2_42_0&highlighted_blocks=101520101_93772844_2_42_0&matching_block_id=101520101_93772844_2_42_0&sr_pri_blocks=101520101_93772844_2_42_0__2884600&from_sustainable_property_sr=1&from=searchresults,"{""Location"": ""8.7"", ""Cleanliness"": ""8.6"", ""Value_for_money"": ""8.0""}","[""Outdoor swimming pool"", ""Family rooms"", ""Fitness centre"", ""Free WiFi""]",,
https://www.booking.com/hotel/in/taj-city-centre-new-town-kolkata.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=23815024_88873127_2_42_0_911349&highlighted_blocks=23815024_88873127_2_42_0_911349&matching_block_id=23815024_88873127_2_42_0_911349&sr_pri_blocks=23815024_88873127_2_42_0_911349_3827084&from=searchresults,"{""Staff"": ""9.3"", ""Facilities"": ""9.2"", ""Cleanliness"": ""9.3"", ""Comfort"": ""9.3"", ""Value_for_money"": ""8.8"", ""Location"": ""9.0"", ""Free_WiFi"": ""8.9""}","[""Non-smoking rooms"", ""Fitness centre"", ""Room service"", ""3 restaurants"", ""Free WiFi"", ""Facilities for disabled guests"", ""Tea/coffee maker in all rooms"", ""Bar"", ""Fabulous breakfast"", ""Free cot available on request""]",14:00,12:00
https://www.booking.com/hotel/in/treebo-vedanta.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=211696605_397215151_2_34_0_34620&highlighted_blocks=211696605_397215151_2_34_0_34620&matching_block_id=211696605_397215151_2_34_0_34620&sr_pri_blocks=211696605_397215151_2_34_0_34620_1365660&from=searchresults,"{""Staff"": ""8.0"", ""Facilities"": ""8.1"", ""Cleanliness"": ""8.5"", ""Comfort"": ""8.4"", ""Value_for_money"": ""8.1"", ""Location"": ""8.8"", ""Free_WiFi"": ""6.1""}","[""Non-smoking rooms"", ""Room service"", ""Free WiFi"", ""Facilities for disabled guests"", ""Airport shuttle"", ""Family rooms"", ""24-hour front desk"", ""Tea/coffee maker in all rooms"", ""Very good breakfast""]",13:00,11:00
