url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/neo-loyal-villa.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749727162&all_sr_blocks=1168267502_389395087_2_42_549755813888&highlighted_blocks=1168267502_389395087_2_42_549755813888&matching_block_id=1168267502_389395087_2_42_549755813888&sr_pri_blocks=1168267502_389395087_2_42_549755813888__809460&from=searchresults,"{""Staff"": ""8.5"", ""Facilities"": ""7.4"", ""Cleanliness"": ""7.7"", ""Comfort"": ""7.7"", ""Value_for_money"": ""7.8"", ""Location"": ""8.0""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""Breakfast""]",11:00,
https://www.booking.com/hotel/in/palak-manali.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749727162&all_sr_blocks=1351373801_408621673_3_0_0&highlighted_blocks=1351373801_408621673_3_0_0&matching_block_id=1351373801_408621673_3_0_0&sr_pri_blocks=1351373801_408621673_3_0_0__1574370&from=searchresults,"{""Staff"": ""9.3"", ""Facilities"": ""9.4"", ""Cleanliness"": ""8.8"", ""Comfort"": ""9.1"", ""Value_for_money"": ""8.9"", ""Location"": ""9.5""}","[""Free parking"", ""Breakfast""]",11:00,
https://www.booking.com/hotel/in/shami-inn.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749727162&all_sr_blocks=424567103_410205529_2_2_0_907593&highlighted_blocks=424567103_410205529_2_2_0_907593&matching_block_id=424567103_410205529_2_2_0_907593&sr_pri_blocks=424567103_410205529_2_2_0_907593_722193&from=searchresults,"{""Staff"": ""8.8"", ""Facilities"": ""8.8"", ""Cleanliness"": ""8.8"", ""Comfort"": ""8.8"", ""Value_for_money"": ""8.8"", ""Location"": ""7.9"", ""Free_WiFi"": ""7.5""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Non-smoking rooms"", ""Family rooms"", ""Breakfast""]",12:00,11:00
https://www.booking.com/hotel/in/collection-o-mall-road-near-hadimba-temple.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749727162&all_sr_blocks=1397153101_411727831_2_0_0&highlighted_blocks=1397153101_411727831_2_0_0&matching_block_id=1397153101_411727831_2_0_0&sr_pri_blocks=1397153101_411727831_2_0_0__592256&from=searchresults,"{""Location"": ""10"", ""Cleanliness"": ""10"", ""Value_for_money"": ""10""}",[],,
https://www.booking.com/hotel/in/celebriti-inn-by-london-vista-hotels-old-manali.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749727162&all_sr_blocks=1351110104_407527007_0_41_0_789984&highlighted_blocks=1351110104_407527007_0_41_0_789984&matching_block_id=1351110104_407527007_0_41_0_789984&sr_pri_blocks=1351110104_407527007_0_41_0_789984_1672800&from=searchresults,"{""Staff"": ""9.1"", ""Facilities"": ""8.6"", ""Cleanliness"": ""8.8"", ""Comfort"": ""9.5"", ""Value_for_money"": ""9.5"", ""Location"": ""8.6""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Airport shuttle"", ""Bar"", ""Breakfast""]",12:00,
https://www.booking.com/hotel/in/sattva-manali-manali.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749727162&all_sr_blocks=850664906_352236132_2_34_0&highlighted_blocks=850664906_352236132_2_34_0&matching_block_id=850664906_352236132_2_34_0&sr_pri_blocks=850664906_352236132_2_34_0__1429687&from=searchresults,"{""Location"": ""8.1"", ""Cleanliness"": ""8.4"", ""Value_for_money"": ""8.2""}","[""Family rooms"", ""Free WiFi"", ""Free parking"", ""Restaurant""]",,
https://www.booking.com/hotel/in/timberwolf.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749727162&all_sr_blocks=306355906_190491685_2_42_0&highlighted_blocks=306355906_190491685_2_42_0&matching_block_id=306355906_190491685_2_42_0&sr_pri_blocks=306355906_190491685_2_42_0__646920&from=searchresults,"{""Staff"": ""9.2"", ""Facilities"": ""8.7"", ""Cleanliness"": ""8.9"", ""Comfort"": ""8.7"", ""Value_for_money"": ""9.0"", ""Location"": ""9.2"", ""Free_WiFi"": ""8.8""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Fitness centre"", ""Family rooms"", ""Airport shuttle"", ""Bar"", ""Breakfast""]",10:30,
https://www.booking.com/hotel/in/mountain-top.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749727162&all_sr_blocks=200991401_397776588_2_34_0&highlighted_blocks=200991401_397776588_2_34_0&matching_block_id=200991401_397776588_2_34_0&sr_pri_blocks=200991401_397776588_2_34_0__871200&from=searchresults,"{""Staff"": ""7.2"", ""Facilities"": ""7.2"", ""Cleanliness"": ""7.2"", ""Comfort"": ""7.2"", ""Value_for_money"": ""7.6"", ""Location"": ""7.6"", ""Free_WiFi"": ""2.5""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Family rooms"", ""Airport shuttle"", ""Breakfast""]",12:00,11:00
https://www.booking.com/hotel/in/treebo-silver-stone-resort.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749727162&all_sr_blocks=1344711601_406827491_2_1_0_804058&highlighted_blocks=1344711601_406827491_2_1_0_804058&matching_block_id=1344711601_406827491_2_1_0_804058&sr_pri_blocks=1344711601_406827491_2_1_0_804058_938320&from=searchresults,"{""Staff"": ""9.2"", ""Facilities"": ""8.6"", ""Cleanliness"": ""8.3"", ""Comfort"": ""8.9"", ""Value_for_money"": ""8.9"", ""Location"": ""9.1""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""Heating"", ""Tea/coffee maker in all rooms"", ""Breakfast""]",14:00,12:00
https://www.booking.com/hotel/in/the-village-submontane.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749727162&all_sr_blocks=718251435_412704154_2_42_0&highlighted_blocks=718251435_412704154_2_42_0&matching_block_id=718251435_412704154_2_42_0&sr_pri_blocks=718251435_412704154_2_42_0__756000&from=searchresults,"{""Staff"": ""8.0"", ""Facilities"": ""7.6"", ""Cleanliness"": ""7.8"", ""Comfort"": ""7.9"", ""Value_for_money"": ""8.0"", ""Location"": ""8.4"", ""Free_WiFi"": ""10""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""Airport shuttle"", ""BBQ facilities"", ""Bar"", ""Breakfast""]",11:00,
