url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/wind-song-munnar.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=991579603_400593152_2_0_0&highlighted_blocks=991579603_400593152_2_0_0&matching_block_id=991579603_400593152_2_0_0&sr_pri_blocks=991579603_400593152_2_0_0__1263681&from=searchresults,"{""Staff"": ""7.9"", ""Facilities"": ""8.1"", ""Cleanliness"": ""8.5"", ""Comfort"": ""8.6"", ""Value_for_money"": ""8.0"", ""Location"": ""7.0"", ""Free_WiFi"": ""2.5""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""Airport shuttle"", ""Tea/coffee maker in all rooms"", ""Breakfast""]",13:00,11:00
https://www.booking.com/hotel/in/treebo-trend-wanderlust-residency.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=718868201_400593706_2_2_0_319999&highlighted_blocks=718868201_400593706_2_2_0_319999&matching_block_id=718868201_400593706_2_2_0_319999&sr_pri_blocks=718868201_400593706_2_2_0_319999_965827&from=searchresults,"{""Staff"": ""7.8"", ""Facilities"": ""7.7"", ""Cleanliness"": ""8.1"", ""Comfort"": ""8.1"", ""Value_for_money"": ""8.1"", ""Location"": ""7.0"", ""Free_WiFi"": ""8.3""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Non-smoking rooms"", ""Family rooms"", ""Tea/coffee maker in all rooms"", ""Superb breakfast""]",13:00,11:00
https://www.booking.com/hotel/in/veu-munnar-retreat.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=1318778206_404595151_2_42_0&highlighted_blocks=1318778206_404595151_2_42_0&matching_block_id=1318778206_404595151_2_42_0&sr_pri_blocks=1318778206_404595151_2_42_0__924000&from=searchresults,"{""Staff"": ""7.7"", ""Facilities"": ""6.8"", ""Cleanliness"": ""7.2"", ""Comfort"": ""7.3"", ""Value_for_money"": ""7.2"", ""Location"": ""8.2"", ""Free_WiFi"": ""8.3""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""Tea/coffee maker in all rooms"", ""Breakfast""]",08:00,
https://www.booking.com/hotel/in/treebo-kurinji-wanderlust-munnar.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=273915303_404630561_2_2_0_595043&highlighted_blocks=273915303_404630561_2_2_0_595043&matching_block_id=273915303_404630561_2_2_0_595043&sr_pri_blocks=273915303_404630561_2_2_0_595043_1052460&from=searchresults,"{""Location"": ""8.1"", ""Cleanliness"": ""8.7"", ""Value_for_money"": ""8.4""}","[""Family rooms"", ""Free WiFi"", ""Free parking"", ""Room service""]",,
https://www.booking.com/hotel/in/issacs-residency.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=232019802_380768345_2_42_0&highlighted_blocks=232019802_380768345_2_42_0&matching_block_id=232019802_380768345_2_42_0&sr_pri_blocks=232019802_380768345_2_42_0__2160000&from=searchresults,"{""Location"": ""8.9"", ""Cleanliness"": ""8.6"", ""Value_for_money"": ""7.9""}","[""Family rooms"", ""Free WiFi"", ""Free parking"", ""Restaurant""]",,
https://www.booking.com/hotel/in/pleasant-hill-resort.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=624201801_402420681_2_2_0&highlighted_blocks=624201801_402420681_2_2_0&matching_block_id=624201801_402420681_2_2_0&sr_pri_blocks=624201801_402420681_2_2_0__1775357&from=searchresults,"{""Staff"": ""9.2"", ""Facilities"": ""8.7"", ""Cleanliness"": ""9.0"", ""Comfort"": ""9.1"", ""Value_for_money"": ""8.3"", ""Location"": ""8.5"", ""Free_WiFi"": ""8.2""}","[""Outdoor swimming pool"", ""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Fitness centre"", ""Family rooms"", ""Tea/coffee maker in all rooms"", ""Exceptional breakfast""]",05:00,
https://www.booking.com/hotel/in/grand-plaza-munnar.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=42149301_285664616_2_42_0&highlighted_blocks=42149301_285664616_2_42_0&matching_block_id=42149301_285664616_2_42_0&sr_pri_blocks=42149301_285664616_2_42_0__2295000&from=searchresults,"{""Location"": ""9.0"", ""Cleanliness"": ""8.8"", ""Value_for_money"": ""8.4""}",[],,
https://www.booking.com/hotel/in/ayursakthi-riverdale-resorts.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=222490704_369505735_2_2_549755813888&highlighted_blocks=222490704_369505735_2_2_549755813888&matching_block_id=222490704_369505735_2_2_549755813888&sr_pri_blocks=222490704_369505735_2_2_549755813888__1392000&from=searchresults,"{""Location"": ""8.6"", ""Cleanliness"": ""9.0"", ""Value_for_money"": ""8.7""}","[""Family rooms"", ""Free WiFi"", ""Free parking"", ""Room service""]",,
https://www.booking.com/hotel/in/dew-drops.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=190873001_390528137_2_42_0_641305&highlighted_blocks=190873001_390528137_2_42_0_641305&matching_block_id=190873001_390528137_2_42_0_641305&sr_pri_blocks=190873001_390528137_2_42_0_641305_1668750&from=searchresults,"{""Staff"": ""8.3"", ""Facilities"": ""8.3"", ""Cleanliness"": ""8.3"", ""Comfort"": ""8.3"", ""Value_for_money"": ""7.7"", ""Location"": ""8.3"", ""Free_WiFi"": ""8.8""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""Facilities for disabled guests"", ""Airport shuttle"", ""Tea/coffee maker in all rooms"", ""Breakfast""]",08:00,
https://www.booking.com/hotel/in/c7-munnar-munnar1.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=1133291201_402165558_2_42_0_271949&highlighted_blocks=1133291201_402165558_2_42_0_271949&matching_block_id=1133291201_402165558_2_42_0_271949&sr_pri_blocks=1133291201_402165558_2_42_0_271949_1990800&from=searchresults,"{""Staff"": ""7.8"", ""Facilities"": ""7.3"", ""Cleanliness"": ""8.0"", ""Comfort"": ""8.1"", ""Value_for_money"": ""7.4"", ""Location"": ""8.7"", ""Free_WiFi"": ""6.5""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""BBQ facilities"", ""Good breakfast"", ""Free cot available on request""]",10:00,
