url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/treebo-trend-skydale-premium-suites.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=1147957901_400592716_2_2_0_310340&highlighted_blocks=1147957901_400592716_2_2_0_310340&matching_block_id=1147957901_400592716_2_2_0_310340&sr_pri_blocks=1147957901_400592716_2_2_0_310340_2888623&from=searchresults,"{""Staff"": ""8.6"", ""Facilities"": ""8.2"", ""Cleanliness"": ""8.5"", ""Comfort"": ""8.3"", ""Value_for_money"": ""7.9"", ""Location"": ""8.5"", ""Free_WiFi"": ""9.2""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Non-smoking rooms"", ""Fitness centre"", ""Family rooms"", ""Tea/coffee maker in all rooms"", ""Fabulous breakfast""]",13:00,11:00
https://www.booking.com/hotel/in/treebo-trend-skydale-inn-amp-suites-with-mountain-view.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=1195233201_400593689_2_1_0_389716&highlighted_blocks=1195233201_400593689_2_1_0_389716&matching_block_id=1195233201_400593689_2_1_0_389716&sr_pri_blocks=1195233201_400593689_2_1_0_389716_2034937&from=searchresults,{},"[""Family rooms"", ""Free WiFi"", ""Free parking"", ""Room service""]",,
https://www.booking.com/hotel/in/collection-o-nondimedu-formerly-thaneesh-residency.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=1349716601_408513330_2_0_0&highlighted_blocks=1349716601_408513330_2_0_0&matching_block_id=1349716601_408513330_2_0_0&sr_pri_blocks=1349716601_408513330_2_0_0__1074642&from=searchresults,"{""Staff"": ""8.3"", ""Facilities"": ""8.2"", ""Cleanliness"": ""8.2"", ""Comfort"": ""8.3"", ""Value_for_money"": ""8.2"", ""Location"": ""7.8"", ""Free_WiFi"": ""10""}","[""Free WiFi"", ""Room service"", ""Family rooms""]",12:00,11:00
https://www.booking.com/hotel/in/peak-view-resort-ooty.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=822414001_390886384_0_34_0&highlighted_blocks=822414001_390886384_0_34_0&matching_block_id=822414001_390886384_0_34_0&sr_pri_blocks=822414001_390886384_0_34_0__2031600&from=searchresults,{},[],,
https://www.booking.com/hotel/in/eko-stay-woodside-lvy-villa.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=758864001_332931937_10_0_0&highlighted_blocks=758864001_332931937_10_0_0&matching_block_id=758864001_332931937_10_0_0&sr_pri_blocks=758864001_332931937_10_0_0__8073000&from=searchresults,"{""Staff"": ""8.0"", ""Facilities"": ""7.3"", ""Cleanliness"": ""7.8"", ""Comfort"": ""7.9"", ""Value_for_money"": ""7.8"", ""Location"": ""8.3"", ""Free_WiFi"": ""10""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Family rooms"", ""BBQ facilities""]",08:00,
https://www.booking.com/hotel/in/oyo-rooms-theetukkal-road.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=239648006_400592809_2_2_0_316686&highlighted_blocks=239648006_400592809_2_2_0_316686&matching_block_id=239648006_400592809_2_2_0_316686&sr_pri_blocks=239648006_400592809_2_2_0_316686_1583048&from=searchresults,"{""Staff"": ""8.8"", ""Facilities"": ""7.6"", ""Cleanliness"": ""7.9"", ""Comfort"": ""7.9"", ""Value_for_money"": ""7.5"", ""Location"": ""7.6"", ""Free_WiFi"": ""8.8""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Non-smoking rooms"", ""Family rooms"", ""Facilities for disabled guests"", ""Breakfast""]",13:00,11:00
https://www.booking.com/hotel/in/lazo-silver-lake-ooty.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=1276922003_400593093_2_1_0&highlighted_blocks=1276922003_400593093_2_1_0&matching_block_id=1276922003_400593093_2_1_0&sr_pri_blocks=1276922003_400593093_2_1_0__1500000&from=searchresults,"{""Staff"": ""8.2"", ""Facilities"": ""7.7"", ""Cleanliness"": ""7.8"", ""Comfort"": ""7.9"", ""Value_for_money"": ""7.9"", ""Location"": ""8.0"", ""Free_WiFi"": ""7.5""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""2 restaurants"", ""Non-smoking rooms"", ""Family rooms"", ""Airport shuttle"", ""Breakfast""]",10:00,
https://www.booking.com/hotel/in/sholas-residency.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=153305312_410205684_2_1_0_879723&highlighted_blocks=153305312_410205684_2_1_0_879723&matching_block_id=153305312_410205684_2_1_0_879723&sr_pri_blocks=153305312_410205684_2_1_0_879723_1392588&from=searchresults,"{""Staff"": ""6.4"", ""Facilities"": ""5.6"", ""Cleanliness"": ""5.7"", ""Comfort"": ""5.6"", ""Value_for_money"": ""5.4"", ""Location"": ""6.3"", ""Free_WiFi"": ""6.0""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Family rooms"", ""Breakfast""]",12:00,11:00
https://www.booking.com/hotel/in/aathira-hill-stay.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=1407165401_412549911_2_0_0&highlighted_blocks=1407165401_412549911_2_0_0&matching_block_id=1407165401_412549911_2_0_0&sr_pri_blocks=1407165401_412549911_2_0_0__822042&from=searchresults,{},"[""Family rooms"", ""Free WiFi"", ""Restaurant"", ""Room service""]",,
https://www.booking.com/hotel/in/collection-o-udhagamandalam.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=1354391501_407773409_2_0_0&highlighted_blocks=1354391501_407773409_2_0_0&matching_block_id=1354391501_407773409_2_0_0&sr_pri_blocks=1354391501_407773409_2_0_0__776966&from=searchresults,{},[],,
