url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/oyo-rooms-near-mall-shimla.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=199970702_400593144_2_2_0_387357&highlighted_blocks=199970702_400593144_2_2_0_387357&matching_block_id=199970702_400593144_2_2_0_387357&sr_pri_blocks=199970702_400593144_2_2_0_387357_996540&from=searchresults,"{""Staff"": ""8.5"", ""Facilities"": ""8.3"", ""Cleanliness"": ""8.5"", ""Comfort"": ""8.3"", ""Value_for_money"": ""8.1"", ""Location"": ""7.4"", ""Free_WiFi"": ""8.0""}","[""Free WiFi"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""Facilities for disabled guests"", ""24-hour front desk"", ""Tea/coffee maker in all rooms"", ""Very good breakfast""]",14:00,12:00
https://www.booking.com/hotel/in/treebo-varuna.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=201196111_400593072_2_2_0_314336&highlighted_blocks=201196111_400593072_2_2_0_314336&matching_block_id=201196111_400593072_2_2_0_314336&sr_pri_blocks=201196111_400593072_2_2_0_314336_1198402&from=searchresults,"{""Staff"": ""7.6"", ""Facilities"": ""7.3"", ""Cleanliness"": ""7.6"", ""Comfort"": ""7.5"", ""Value_for_money"": ""7.3"", ""Location"": ""8.0"", ""Free_WiFi"": ""8.4""}","[""Free WiFi"", ""Room service"", ""Family rooms"", ""24-hour front desk"", ""Tea/coffee maker in all rooms"", ""Breakfast""]",14:00,12:00
https://www.booking.com/hotel/in/townhouse-khachi-ghati-s-himla.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=1315428002_404327003_2_0_0&highlighted_blocks=1315428002_404327003_2_0_0&matching_block_id=1315428002_404327003_2_0_0&sr_pri_blocks=1315428002_404327003_2_0_0__930894&from=searchresults,"{""Location"": ""7.7"", ""Cleanliness"": ""8.3"", ""Value_for_money"": ""8.1""}",[],,
https://www.booking.com/hotel/in/torrentium-lodge.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=114026010_408639614_2_1_0_1086994&highlighted_blocks=114026010_408639614_2_1_0_1086994&matching_block_id=114026010_408639614_2_1_0_1086994&sr_pri_blocks=114026010_408639614_2_1_0_1086994_1681074&from=searchresults,"{""Staff"": ""8.4"", ""Facilities"": ""7.7"", ""Cleanliness"": ""8.0"", ""Comfort"": ""7.5"", ""Value_for_money"": ""7.7"", ""Location"": ""8.5""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""24-hour front desk"", ""Tea/coffee maker in all rooms"", ""Bar"", ""Breakfast""]",14:00,12:00
https://www.booking.com/hotel/in/oyo-rooms-heritage-bungalow-cart-road.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=166308803_392324512_2_2_0_888401&highlighted_blocks=166308803_392324512_2_2_0_888401&matching_block_id=166308803_392324512_2_2_0_888401&sr_pri_blocks=166308803_392324512_2_2_0_888401_1139916&from=searchresults,{},"[""Family rooms"", ""Free WiFi"", ""Free parking"", ""Restaurant""]",,
https://www.booking.com/hotel/in/victory-since-1979.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=1198315503_392118705_3_42_0&highlighted_blocks=1198315503_392118705_3_42_0&matching_block_id=1198315503_392118705_3_42_0&sr_pri_blocks=1198315503_392118705_3_42_0__3300000&from=searchresults,"{""Location"": ""8.8"", ""Cleanliness"": ""8.6"", ""Value_for_money"": ""8.2""}","[""Family rooms"", ""Free WiFi"", ""Parking"", ""Restaurant""]",,
https://www.booking.com/hotel/in/oyo-pine-view.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=1143301102_387158249_2_0_0&highlighted_blocks=1143301102_387158249_2_0_0&matching_block_id=1143301102_387158249_2_0_0&sr_pri_blocks=1143301102_387158249_2_0_0__690951&from=searchresults,"{""Location"": ""9.4"", ""Cleanliness"": ""10"", ""Value_for_money"": ""10""}",[],,
https://www.booking.com/hotel/in/shimla-aagaman-woods.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=805243004_413536899_0_2_0&highlighted_blocks=805243004_413536899_0_2_0&matching_block_id=805243004_413536899_0_2_0&sr_pri_blocks=805243004_413536899_0_2_0__655500&from=searchresults,"{""Location"": ""8.4"", ""Cleanliness"": ""9.2"", ""Value_for_money"": ""9.4""}","[""Family rooms"", ""Fast free WiFi (134 Mbps)"", ""Free parking"", ""Room service""]",,
https://www.booking.com/hotel/in/elysium-cottage-auckland-tunnel.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=1342298801_409574808_0_2_0&highlighted_blocks=1342298801_409574808_0_2_0&matching_block_id=1342298801_409574808_0_2_0&sr_pri_blocks=1342298801_409574808_0_2_0__1800000&from=searchresults,{},[],,
https://www.booking.com/hotel/in/greenland.en-gb.html?label=simla-OrcOJ63hB4vu2WWSYE6MrQS650545857084%3Apl%3Ata%3Ap195%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1698310051%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2111367&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=26dd0f6a22ce0632&srepoch=1749781298&all_sr_blocks=126894303_400593479_2_2_0_556105&highlighted_blocks=126894303_400593479_2_2_0_556105&matching_block_id=126894303_400593479_2_2_0_556105&sr_pri_blocks=126894303_400593479_2_2_0_556105_1143861&from=searchresults,{},"[""Family rooms"", ""Free WiFi"", ""Free parking"", ""Restaurant""]",,
