name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
Mee Homes Madhapur Family Stay Fully Furnished 2 BHK Premium Flats 201,Two-Bedroom Apartment,Free cancellation,No prepayment needed,"3 beds (1 double, 2 extra-large doubles)","₹ 24,000",-1,-1,6.1 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/mee-homes-hitec-city.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1268284801_399552900_6_0_0&highlighted_blocks=1268284801_399552900_6_0_0&matching_block_id=1268284801_399552900_6_0_0&sr_pri_blocks=1268284801_399552900_6_0_0__2400000&from=searchresults
Lavish premium 2bhk jublee hills Apollo,Two-Bedroom Apartment,Free cancellation,No prepayment needed,"Entire apartment • 2 bedrooms • 3 bathrooms • 1,000 m²2 extra-large double beds","₹ 29,700",-1,-1,3.3 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/lavish-premium-2bhk-jublee-hills-apollo.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1364397001_408735570_3_0_0&highlighted_blocks=1364397001_408735570_3_0_0&matching_block_id=1364397001_408735570_3_0_0&sr_pri_blocks=1364397001_408735570_3_0_0__2970000&from=searchresults
Melody 2 Bedroom Apartment in Hyderabad,Two-Bedroom Apartment,Free cancellation,No prepayment needed,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 1,000 m²3 beds (2 extra-large doubles, 1 sofa bed) • Cot always available","₹ 14,700",-1,-1,15.2 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/melody-hyderabad.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=947466201_367327747_4_0_0&highlighted_blocks=947466201_367327747_4_0_0&matching_block_id=947466201_367327747_4_0_0&sr_pri_blocks=947466201_367327747_4_0_0__1470000&from=searchresults
SRR Homes,Villa,Free cancellation,No prepayment needed,"Entire villa • 5 bedrooms • 1 living room • 5 bathrooms • 1,000 m²6 beds (2 doubles, 1 sofa bed, 3 large doubles)","₹ 56,700",-1,-1,1.8 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/srr-homes-hyderbabd.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1372265701_409414928_4_0_0&highlighted_blocks=1372265701_409414928_4_0_0&matching_block_id=1372265701_409414928_4_0_0&sr_pri_blocks=1372265701_409414928_4_0_0__5670000&from=searchresults
"Maya HomeStay -2BHK Flat near US Counsulate, Gachibowli",Two-Bedroom Apartment,Free cancellation,No prepayment needed,1 large double bed,"₹ 29,400",-1,-1,11.9 km from centre,"Gachibowli, Hyderabad",2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/maya-homestay-2bhk-flat-near-us-counsulate-gachibowli.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1340075101_406420864_4_0_0&highlighted_blocks=1340075101_406420864_4_0_0&matching_block_id=1340075101_406420864_4_0_0&sr_pri_blocks=1340075101_406420864_4_0_0__2940000&from=searchresults
Fargo Valley,Three-Bedroom Apartment,Free cancellation,,"Entire apartment • 6 bathrooms • 1 kitchen • 1,000 m²","₹ 151,017",-1,-1,46.7 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/fargo-valley.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1405139702_412318584_6_0_0&highlighted_blocks=1405139702_412318584_6_0_0&matching_block_id=1405139702_412318584_6_0_0&sr_pri_blocks=1405139702_412318584_6_0_0__15101700&from=searchresults
Lemon drop farmstay,Three-Bedroom House,Free cancellation,No prepayment needed,"Entire holiday home • 2 bedrooms • 4 bathrooms • 1 kitchen • 1,000 m²3 beds (1 single, 2 doubles)","₹ 75,000",-1,-1,38.9 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/lemon-drop-farmstay.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1321026801_404793766_7_0_0&highlighted_blocks=1321026801_404793766_7_0_0&matching_block_id=1321026801_404793766_7_0_0&sr_pri_blocks=1321026801_404793766_7_0_0__7500000&from=searchresults
Avasa Residency,One-Bedroom Apartment,Free cancellation,No prepayment needed,3 single beds,"₹ 13,500",-1,-1,13.8 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/avasa-residency.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1246126701_396816354_3_0_0&highlighted_blocks=1246126701_396816354_3_0_0&matching_block_id=1246126701_396816354_3_0_0&sr_pri_blocks=1246126701_396816354_3_0_0__1350000&from=searchresults
StayVista at AJ House with Pvt Pool & Projector Set-up,Villa,Free cancellation,,"Entire villa • 9 bedrooms • 2 living rooms • 10 bathrooms • 1,000 m²9 beds (1 single, 8 large doubles)","₹ 939,060",-1,-1,17.8 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/stayvista-at-aj-house.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1175444501_390093046_24_0_0&highlighted_blocks=1175444501_390093046_24_0_0&matching_block_id=1175444501_390093046_24_0_0&sr_pri_blocks=1175444501_390093046_24_0_0__93906000&from=searchresults
Changemaker’s Oasis,Two-Bedroom Apartment,Free cancellation,No prepayment needed,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 928 m²3 beds (2 doubles, 1 sofa bed)","₹ 18,235",-1,-1,10.5 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/changemakers-oasis.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1273418801_400148353_4_0_0&highlighted_blocks=1273418801_400148353_4_0_0&matching_block_id=1273418801_400148353_4_0_0&sr_pri_blocks=1273418801_400148353_4_0_0__1823544&from=searchresults
