name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
Treebo Green View,Deluxe Double Room,Free cancellation,No prepayment needed,Multiple bed types,"₹ 11,621",6.0,202,3 km from centre,Kolkata,2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/green-view-kolkata.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=69752308_400592798_2_2_0_33819&highlighted_blocks=69752308_400592798_2_2_0_33819&matching_block_id=69752308_400592798_2_2_0_33819&sr_pri_blocks=69752308_400592798_2_2_0_33819_1162105&from=searchresults
Super Hotel O Tagore Park Laskarhat formerly Shankar Guest House,Classic Triple Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 7,605",10,2,5.9 km from centre,Kolkata,2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/collection-o-shankar-guest-house.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=1303120501_403183435_2_0_0&highlighted_blocks=1303120501_403183435_2_0_0&matching_block_id=1303120501_403183435_2_0_0&sr_pri_blocks=1303120501_403183435_2_0_0__760468&from=searchresults
Itsy Hotels Reotel,Standard Double Room,Free cancellation,No prepayment needed,Beds: 1 double or 2 singles,"₹ 11,197",7.2,154,7 km from centre,"Kalighat, Kolkata",2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/treebo-trend-reotel.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=793584701_400593111_2_0_0_33999&highlighted_blocks=793584701_400593111_2_0_0_33999&matching_block_id=793584701_400593111_2_0_0_33999&sr_pri_blocks=793584701_400593111_2_0_0_33999_1119744&from=searchresults
Treebo Royal Orbit,Economy Double Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 11,836",7.6,35,4.2 km from centre,Kolkata,2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/treebo-trend-royal-orbit-kolkata.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=1112498101_397216287_2_2_0_314697&highlighted_blocks=1112498101_397216287_2_2_0_314697&matching_block_id=1112498101_397216287_2_2_0_314697&sr_pri_blocks=1112498101_397216287_2_2_0_314697_1183570&from=searchresults
Treebo Sreema,Standard Double Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 14,478",6.0,85,4.5 km from centre,"Salt Lake, Kolkata",2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/oyo-rooms-salt-lake-sector-3-city-centre-1.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=152071004_392321510_2_2_0_34003&highlighted_blocks=152071004_392321510_2_2_0_34003&matching_block_id=152071004_392321510_2_2_0_34003&sr_pri_blocks=152071004_392321510_2_2_0_34003_1447794&from=searchresults
Super Hotel O Lenin Sarani,Classic Triple Room,Free cancellation,,1 large double bed,"₹ 8,591",6.6,34,1 km from centre,Kolkata,2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/oyo-flagship-11435-aria-grand-esplanade-kolkata3.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=1312364902_407121750_2_2_0&highlighted_blocks=1312364902_407121750_2_2_0&matching_block_id=1312364902_407121750_2_2_0&sr_pri_blocks=1312364902_407121750_2_2_0__859101&from=searchresults
"Treebo Orion Sapphire, Beck Bagan",Standard Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 12,517",6.4,141,3.1 km from centre,"Park Street, Kolkata",2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/orion-west-willows.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=175882904_397218186_2_2_0_316909&highlighted_blocks=175882904_397218186_2_2_0_316909&matching_block_id=175882904_397218186_2_2_0_316909&sr_pri_blocks=175882904_397218186_2_2_0_316909_1251688&from=searchresults
Novotel Kolkata Hotel and Residences,"Superior King Room -  - Enjoy Unlimited drinks between 6-8 PM (House Brands only), Snacks (Chef’s Special), Choice of Cocktails/Mocktails at an additional cost of INR 2200 + tax per person",,,1 large double bed,"₹ 28,846",8.1,1577,9.5 km from centre,"New Town, Kolkata",2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/novotel-kolkata.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=101520101_93772844_2_42_0&highlighted_blocks=101520101_93772844_2_42_0&matching_block_id=101520101_93772844_2_42_0&sr_pri_blocks=101520101_93772844_2_42_0__2884600&from_sustainable_property_sr=1&from=searchresults
"Taj City Centre New Town, Kolkata",Deluxe Twin Room,Free cancellation,No prepayment needed,2 single beds,"₹ 38,271",9.0,1419,10.2 km from centre,"New Town, Kolkata",2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/taj-city-centre-new-town-kolkata.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=23815024_88873127_2_42_0_911349&highlighted_blocks=23815024_88873127_2_42_0_911349&matching_block_id=23815024_88873127_2_42_0_911349&sr_pri_blocks=23815024_88873127_2_42_0_911349_3827084&from=searchresults
Treebo Vedanta,Standard Double Room,Free cancellation,No prepayment needed,Multiple bed types,"₹ 13,657",7.7,110,4.2 km from centre,Kolkata,2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/treebo-vedanta.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=211696605_397215151_2_34_0_34620&highlighted_blocks=211696605_397215151_2_34_0_34620&matching_block_id=211696605_397215151_2_34_0_34620&sr_pri_blocks=211696605_397215151_2_34_0_34620_1365660&from=searchresults
